playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesKickoffKicker,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesLongSnap,gradesPuntReturn,gradesKickReturn,gradesFgepKicker,gradesPunter
71406,Akili Arnold,S,0,0,,2025,326,,60.8,62.3,D00,0,0,1,0,4,0,0,0,2,0,USC,USC,6,59.9,,,,,,
71410,Easton Mascarenas-Arnold,LB,0,0,2025,2025,326,,60,64.7,D04,0,0,1,0,4,0,0,4,1,0,USC,USC,9,60,,,,,,
71476,Cameron Warchuck,LS,0,0,,2026,340,,57.4,62.6,S47,0,0,1,0,0,0,0,2,0,0,WASHINGTON,WASHINGTON,2,,,42.1,,,,
71674,Silas Bolden,WR,0,0,2025,2025,311,,60,64.1,11,0,0,1,0,0,0,0,0,6,0,TEXAS,TEXAS,6,,,,63.2,,,
71957,Sheldon Newton,DI,0,0,,2025,120,,60.2,65,D09,0,0,1,0,1,0,0,0,1,0,BOISE ST,BOISE ST,2,59.4,,,,,,
72075,Josh Carlin,G,0,0,,2025,324,,61.4,62,54,0,0,1,4,0,0,0,0,0,0,UCLA,UCLA,4,,60,,,,,
72089,DJ Harvey,CB,0,0,,2026,285,,71.2,67.5,D02,0,0,1,0,6,0,7,0,0,0,S JOSE ST,S JOSE ST,13,59.9,,,,59.6,,
72178,Colby Bowman,WR,0,1,,2025,329,,48.1,26.3,09,0,1,1,0,0,9,3,4,0,0,UTAH ST,UTAH ST,16,,,,,,,
72200,Marist Talavou,G,0,0,,2025,285,,61.1,65.7,61,0,0,1,3,0,0,0,0,0,0,S JOSE ST,S JOSE ST,3,,60,,,,,
72292,Canaan Yarro,C,0,0,,2025,242,,60,63.7,56,0,0,1,1,0,0,0,0,0,0,NEW MEX ST,NEW MEX ST,1,,60,,,,,
72324,Sonny Makasini,G,0,0,,2027,128,,61.1,66.3,51,0,0,1,3,0,0,0,0,0,0,BYU,BYU,3,,60,,,,,
72332,Kamren Fabiculanan,S,0,0,,2025,340,,60.1,63,D13,0,0,1,0,4,0,1,0,0,0,WASHINGTON,WASHINGTON,5,59.8,,,,,,
72338,Raider Damuni,S,0,0,,2028,128,,62.4,80,D03,0,0,1,0,1,3,0,0,2,0,BYU,BYU,6,60,,,,,,
72354,Logan Pili,LB,0,0,,2027,329,,61.5,65.9,D27,0,0,1,0,0,0,0,0,4,0,UTAH ST,UTAH ST,4,,,,,,,
72376,Cam Davis,HB,0,0,,2026,340,,59.9,65.5,22,0,0,1,0,0,0,5,0,0,0,WASHINGTON,WASHINGTON,5,,,,,,,
72535,Noa Pola-Gates,CB,1,0,,2025,241,,79.6,68.1,D02,0,0,1,0,4,0,0,3,4,0,NEW MEXICO,NEW MEXICO,11,59.9,,,,,,
72538,Jadon Pearson,LB,0,0,,2026,329,,64.8,71.7,D39,0,0,1,0,2,10,0,0,6,0,UTAH ST,UTAH ST,18,60,,,,,,
72689,Marshall Jackson,T,0,0,,2026,346,,60.1,62.6,53,0,0,1,1,1,0,0,0,0,0,W KENTUCKY,W KENTUCKY,2,59.8,60,,,,,
72769,Lavario Wiley,CB,0,0,,2025,325,,72.3,67.6,D17,0,0,1,0,1,0,0,0,6,0,UNLV,UNLV,7,60,,,,,,
72821,Keith Conley Jr.,ED,0,0,,2026,325,,60,63.5,D99,0,0,1,0,0,0,0,0,1,0,UNLV,UNLV,1,,,,,,,
73148,Falcon Kaumatule,G,0,0,,2025,328,,55.4,65.2,59,0,0,1,4,0,0,0,6,0,0,UTAH,UTAH,10,,60,,,,,
73243,Lincoln Tuioti-Mariner,S,0,0,,2028,101,,60,63.4,D23,0,0,1,0,0,0,0,1,1,0,AIR FORCE,AIR FORCE,2,,,,,,,
73389,Marco Notarainni,LB,0,0,,2026,120,,61.5,66.1,D53,0,0,1,0,3,4,0,1,1,0,BOISE ST,BOISE ST,9,60,,,,,,
73697,Sioeli Helu,G,0,0,,2027,242,,60.5,63.4,58,0,0,1,2,0,0,0,0,0,0,NEW MEX ST,NEW MEX ST,2,,60,,,,,
73930,Ryan Daly,TE,0,0,,2027,126,,81.7,64.3,88,0,0,1,0,0,0,8,0,0,0,BUFFALO,BUFFALO,8,,,,,,,
74119,Taariq Al-Uqdah,LB,0,0,,2027,341,,60.6,64.5,D00,0,0,1,0,5,3,0,0,0,0,WASH STATE,WASH STATE,8,59.9,,,,,,
74152,Ryan Quintanar,LB,0,0,,2026,326,,61.2,65.2,D51,0,0,1,0,0,5,5,0,0,0,USC,USC,10,,,,,,,
74236,Mason Murphy,T,0,0,2026,2026,326,,61.5,68.4,76,0,0,1,5,0,0,0,0,0,0,USC,USC,5,,60,,,,,
74258,Justin Sinclair,S,0,0,,2026,180,,67.7,70.6,D06,1,0,1,0,7,3,10,7,2,2,HAWAII,HAWAII,29,59.8,,,,,,
74267,Melquan Stovall,WR,0,0,,2025,110,,59.9,66.4,05,0,0,1,0,0,0,3,3,2,0,ARIZONA ST,ARIZONA ST,8,,,,61.9,58.7,,
74395,Zion Branch,S,0,0,,2027,326,,60.8,63.9,D08,0,0,1,0,0,5,0,0,0,0,USC,USC,5,,,,,,,
74427,Anthony Landphere,TE,0,0,2025,2025,218,,61.8,61.4,82,0,0,1,9,0,0,0,0,0,0,MEMPHIS,MEMPHIS,9,,61.5,,,,,
74498,Treven Ma'ae,DI,0,0,2025,2025,118,,59.8,64.6,D09,0,0,1,0,5,0,0,0,0,0,BAYLOR,BAYLOR,5,59.5,,,,,,
74652,AJ Vaipulu,G,0,0,,2026,242,,60,61.3,51,0,0,1,2,0,0,0,0,0,0,NEW MEX ST,NEW MEX ST,2,,60,,,,,
74957,Nathan Griffin,LB,0,0,,2025,346,,61.8,69.6,D45,0,0,1,0,0,0,5,0,2,0,W KENTUCKY,W KENTUCKY,7,,,,,,,
75263,Silas Walters,S,0,0,2026,2026,221,,62.9,65.5,D29,0,0,1,0,2,0,0,1,7,0,MIAMI OH,MIAMI OH,10,59.9,,,,,,
75288,Tegra Tshabola,G,0,0,,2028,260,,61.6,65.9,77,0,0,1,5,0,0,0,0,0,0,OHIO STATE,OHIO STATE,5,,60,,,,,
75816,Chuck Hicks,LB,0,0,,2025,229,,60.3,72.5,D30,0,0,1,0,2,0,0,2,0,0,MISSOURI,MISSOURI,4,60,,,,,,
76122,Bam Booker,ED,0,0,,2027,122,,60,63.7,D45,0,0,1,0,0,0,1,0,0,0,BOWL GREEN,BOWL GREEN,1,,,,,57.5,,
76436,Damarco Moorer,S,0,0,,2026,242,,42.9,64.8,D10,1,0,1,0,0,2,0,0,1,0,NEW MEX ST,NEW MEX ST,3,,,,,,,
76532,Damaje Yancey,CB,0,0,,2025,318,,60.3,65.5,D09,0,0,1,0,4,0,0,0,0,0,TROY,TROY,4,59.8,,,,,,
76711,Torey Richardson,CB,0,0,,2025,306,,61.1,67.8,D13,0,0,1,0,2,0,0,0,3,0,TEMPLE,TEMPLE,5,60,,,,,,
76792,Dennis Briggs Jr.,DI,0,0,,2025,187,,60,63.6,D06,0,0,1,0,2,0,0,0,0,0,ILLINOIS,ILLINOIS,2,59.9,,,,,,
76794,Malcolm Lamar Sr.,T,0,0,,2025,165,,60.2,65.8,70,0,0,1,2,0,0,0,0,0,0,FAU,FAU,2,,60,,,,,
76813,Antonio Colclough,ED,0,0,,2025,126,,63.2,90.2,D06,0,0,1,0,1,0,0,0,3,0,BUFFALO,BUFFALO,4,59.8,,,,,,
77244,Matt Harmon,ED,0,0,2025,2025,201,,59.9,64.4,D07,0,0,1,0,5,0,0,0,1,0,KENT STATE,KENT STATE,6,59.3,,,,,,
77252,Daniel Bolden,LB,0,0,,2025,316,,57.2,65.7,D31,0,0,1,0,1,0,2,2,1,0,TOLEDO,TOLEDO,6,60,,,,,,
77266,Keye Thompson,LB,0,0,,2025,268,,62.2,74.8,D38,0,0,1,0,1,0,0,0,7,0,PITTSBURGH,PITTSBURGH,8,60,,,,,,
77307,Justin Holloway,LS,0,0,,2025,109,,65.9,63.5,S31,0,0,1,5,0,0,0,5,0,0,ARIZONA,ARIZONA,10,,61.6,81.1,,,,
77518,Marques Cox,T,0,0,2025,2025,202,,61.6,63.5,69,0,0,1,8,0,0,0,0,0,0,KENTUCKY,KENTUCKY,8,,60,,,,,
77680,Jace Ruder,LB,0,0,,2025,251,,60.5,68.7,D03,0,0,1,0,0,0,9,3,3,0,N TEXAS,N TEXAS,15,,,,,,,
77939,Anthony Torres,TE,0,0,2025,2025,316,,61.3,61.4,88,0,0,1,6,0,0,0,0,0,0,TOLEDO,TOLEDO,6,,60,,,,,
78169,DaShon Bussell,CB,0,0,,2025,347,,60,63.4,D00,0,0,1,0,1,0,0,0,1,0,W MICHIGAN,W MICHIGAN,2,60,,,,,,
78999,Marque Collins,CB,0,0,,2026,128,,62.2,78.4,D02,0,0,1,0,3,0,0,0,2,0,BYU,BYU,5,60,,,,,,
81284,Jared Small,LB,0,0,,2026,109,,61.6,66.6,D40,0,0,1,0,0,5,2,0,0,0,ARIZONA,ARIZONA,7,,,,,,,
81514,Brennen Milliron,LS,0,0,,2025,296,,77.4,64,S39,0,0,1,1,0,0,0,7,0,1,SO MISS,SO MISS,8,,60,83.5,,,,
81809,Joe More,C,0,0,,2025,111,,60,62.1,78,0,0,1,2,0,0,0,0,0,0,ARKANSAS,ARKANSAS,2,,60,,,,,
81860,Tank Jenkins,G,0,0,,2025,182,,60,63.4,72,0,0,1,1,0,0,0,0,0,0,HOUSTON,HOUSTON,1,,60,,,,,
81883,Baraka Beckett,G,0,0,,2025,241,,61.2,63.1,56,0,0,1,6,0,0,0,0,0,0,NEW MEXICO,NEW MEXICO,6,,60,,,,,
81896,Wyatt Bowles,G,0,0,2025,2025,329,,62.5,68.1,60,0,0,1,9,0,0,0,0,0,0,UTAH ST,UTAH ST,9,,64.2,,,,,
82266,Matt Lawson,DI,0,0,,2025,242,,59.4,63.8,D90,0,0,1,0,4,0,0,0,0,0,NEW MEX ST,NEW MEX ST,4,59.3,,,,,,
82281,Ezekiel Holmes,DI,0,0,,2025,187,,61.8,68.7,D33,0,0,1,6,1,0,0,0,0,0,ILLINOIS,ILLINOIS,7,60,60,,,,,
82408,Maurice Strong Jr.,DI,0,0,,2025,288,,59.1,64,D55,0,0,1,0,3,0,0,0,0,0,S ALABAMA,S ALABAMA,3,59,,,,,,
82560,Raymond Scott,LB,0,0,,2025,197,,63.6,64.5,D01,0,0,1,0,1,2,0,2,0,0,JAMES MAD,JAMES MAD,5,60,,,,,,
82562,Solomon Tuliaupupu,ED,0,0,,2027,326,,60.3,64,D58,0,0,1,0,1,0,0,0,1,0,USC,USC,2,59.8,,,,,,
82597,Kenneth Almendares,K,0,0,,2025,207,58.8,60.1,68,S45,0,0,1,4,0,6,0,0,0,0,LA LAFAYET,LA LAFAYET,10,,,,,,66.6,
82646,Ale Kaho,LB,0,0,2025,2025,324,,49.7,65.5,D10,0,0,1,0,5,5,0,0,0,0,UCLA,UCLA,10,59.8,,,,,,
83074,Jaden Robinson,CB,0,0,2025,2025,265,,93.2,66.2,D04,0,0,1,0,6,0,0,0,1,0,OREGON ST,OREGON ST,7,91.3,,,,,,
83197,Dustin Johnson,S,0,0,,2025,259,,60,61.5,D06,0,0,1,0,2,0,0,0,0,0,OHIO,OHIO,2,60,,,,,,
83314,Jarvis Ware,CB,0,0,,2025,325,,60,63.3,D13,0,0,1,0,2,0,0,0,0,0,UNLV,UNLV,2,59.9,,,,,,
83821,Fa'Najae Gotay,LB,0,0,,2025,115,,60,62.9,D38,0,0,1,0,1,0,0,0,0,0,AUBURN,AUBURN,1,60,,,,,,
83825,Bryan Addison,S,0,0,,2025,324,,60,61.6,D04,0,0,1,0,5,0,0,0,0,0,UCLA,UCLA,5,59.9,,,,,,
83838,Armani-Eli Adams,S,0,0,,2025,347,,59.5,65.3,D30,0,0,1,0,0,0,0,3,0,0,W MICHIGAN,W MICHIGAN,3,,,,,,,
83944,Tyneil Hopper,TE,0,0,,2025,223,,60.7,67.1,88,0,0,1,3,0,0,0,0,0,0,MICH STATE,MICH STATE,3,,60,,,,,
86082,Jacob Bandes,DI,0,0,,2025,340,,59.2,63.3,D55,0,0,1,0,3,0,0,0,0,0,WASHINGTON,WASHINGTON,3,59.1,,,,,,
86142,Carson Lee,G,0,0,,2026,160,,60.6,61.5,75,0,0,1,2,0,0,0,0,0,0,E MICHIGAN,E MICHIGAN,2,,60,,,,,
86267,Kalib Perry,LB,0,0,,2027,307,,61.3,70.4,D08,0,0,1,0,0,0,6,5,4,0,TENNESSEE,TENNESSEE,15,,,,,,,
86345,Aaron Rodriguez,P,0,0,,2025,241,,61,66,S10,0,0,1,6,0,0,0,5,0,0,NEW MEXICO,NEW MEXICO,11,,60,,,,,67
86353,Byron Cardwell Jr.,HB,0,0,,2027,130,,60,65.1,21,0,0,1,0,0,0,0,0,2,0,CAL,CAL,2,,,,,,,
86489,Alex Moore,T,0,0,,2025,101,,61.3,63,76,0,0,1,6,0,0,0,1,0,0,AIR FORCE,AIR FORCE,7,,60,,,,,
86527,Rodney Robinson,S,0,0,,2025,120,,67.5,65.2,D04,0,0,1,0,0,7,0,0,0,1,BOISE ST,BOISE ST,7,,,,,,,
86773,Jackson Schulz,S,0,0,,2026,202,,56.9,65.6,D29,0,0,1,0,0,0,4,0,0,0,KENTUCKY,KENTUCKY,4,,,,,,,
86877,Ceyair Wright,CB,0,0,2026,2026,238,,91.6,66.6,D15,1,0,1,0,4,0,0,1,1,0,NEBRASKA,NEBRASKA,6,91.5,,,,,,
87618,Logan Taylor,LB,0,0,,2026,180,,48.5,65.5,D16,0,0,1,0,3,3,0,0,2,0,HAWAII,HAWAII,8,60,,,,,,
88453,Dylan Brown,DI,0,0,,2025,196,,60.3,63.8,D54,0,0,1,0,0,0,0,5,0,0,JVILLE ST,JVILLE ST,5,,,,,,,
90079,David Reese,ED,0,0,,2026,130,,59.9,62.3,D07,0,0,1,0,2,0,0,0,0,0,CAL,CAL,2,59.7,,,,,,
90131,Joseph Vaughn,LB,0,0,2025,2025,324,,68.3,69,D30,0,0,1,0,0,5,6,3,0,0,UCLA,UCLA,14,,,,,,,
90160,Davis Salom,LS,0,0,,2025,285,,62.8,62.1,S40,0,0,1,3,0,0,0,1,0,0,S JOSE ST,S JOSE ST,4,,60,74.4,,,,
90192,Dalton Norris,DI,0,0,,2025,221,,61.4,60.9,D95,0,0,1,7,0,0,0,0,0,0,MIAMI OH,MIAMI OH,7,,60,,,,,
90279,Nilay Upadhyayula,LS,0,0,,2026,268,,62.9,63.9,S47,0,0,1,0,0,0,0,7,0,0,PITTSBURGH,PITTSBURGH,7,,,70.4,,,,
90613,Skylar Loving-Black,TE,0,0,,2025,285,,71.4,65.6,86,0,0,1,3,0,0,7,1,0,0,S JOSE ST,S JOSE ST,11,,60,,,,,
90626,Beau Gardner,LS,0,0,2026,2026,173,,45.4,63.2,S60,0,0,1,5,0,0,0,4,0,0,GEORGIA,GEORGIA,9,,61.6,0,,,,
90760,Daniel Meunier,LS,0,0,,2026,314,,60,60.8,S48,0,0,1,1,0,0,0,0,0,0,TEXAS ST,TEXAS ST,1,,60,66,,,,
90783,Tyrice Ivy Jr.,S,0,0,,2026,265,,60,62.1,D12,0,0,1,0,4,0,0,0,0,0,OREGON ST,OREGON ST,4,59.9,,,,,,
91245,Trey Laing,ED,0,0,,2025,160,,60,63.8,D97,0,0,1,0,0,0,0,0,1,0,E MICHIGAN,E MICHIGAN,1,,,,,,,
97087,Amir McDaniel,CB,0,0,,2025,207,,60,61.6,D13,0,0,1,0,0,0,0,0,1,0,LA LAFAYET,LA LAFAYET,1,,,,,,,
97105,Cam Ross,WR,0,0,2026,2026,197,,60,62,01,0,0,1,0,0,0,4,0,0,0,JAMES MAD,JAMES MAD,4,,,,,73.6,,
97125,Jacquez Stuart,HB,0,0,,2025,316,,60,61.6,00,0,0,1,0,0,0,2,0,0,0,TOLEDO,TOLEDO,2,,,,,73.3,,
97127,Samario Rudolph,WR,0,0,,2026,196,,60,63.6,03,0,0,1,0,0,0,0,0,4,0,JVILLE ST,JVILLE ST,4,,,,63.2,,,
97141,Antavious Lane,S,0,0,,2025,245,,60.5,62.4,D01,0,0,1,0,5,0,0,0,1,0,N CAROLINA,N CAROLINA,6,60.1,,,,,,
97151,Michael Hayes,K,0,0,,2025,343,63,60.1,67.4,S22,0,0,1,5,0,5,0,0,0,0,W VIRGINIA,W VIRGINIA,10,,,,,,64.3,
97161,Aaron Young,HB,0,0,,2025,263,,60,63.3,05,0,0,1,0,0,0,0,0,0,0,DOMINION,DOMINION,0,,,,,,,
97171,Alante Brown,WR,0,0,,2027,223,,67.4,65.7,00,0,0,1,0,0,0,7,4,0,1,MICH STATE,MICH STATE,11,,,,,58.2,,
97188,Dante Wright,WR,0,0,,2025,306,,60,64.1,05,0,0,1,0,0,0,0,0,6,0,TEMPLE,TEMPLE,6,,,,63.8,,,
97191,Michael Brown Stephens,WR,0,0,,2025,327,,60,62.2,07,0,0,1,0,0,0,1,0,0,0,USF,USF,1,,,,,,,
97211,Christian Dremel,WR,0,0,,2025,278,,60,62.5,80,0,0,1,0,0,0,4,0,1,0,RUTGERS,RUTGERS,5,,,,60.3,58.2,,
97213,Taylor Morin,WR,0,0,2025,2025,339,,60.5,64.6,02,0,0,1,0,0,1,0,0,6,0,WAKE,WAKE,7,,,,64.4,,,
97218,Jacob Bernard,WR,0,0,,2025,207,,60.3,64.5,04,0,0,1,0,0,1,0,0,4,0,LA LAFAYET,LA LAFAYET,5,,,,63.1,,,
97220,Anthony Wilson,S,0,0,,2025,343,,67.3,64.8,D12,0,0,1,0,8,4,0,0,0,1,W VIRGINIA,W VIRGINIA,12,59.8,,,,,,
97225,Brandon Crossley,CB,0,0,2025,2025,287,,62.5,69.4,D01,0,0,1,0,4,7,0,0,2,0,SMU,SMU,13,60,,,,,,
97230,Marcus Harris,CB,0,0,2025,2025,130,,61.3,66.8,D05,0,0,1,0,7,2,0,0,0,0,CAL,CAL,9,60,,,,,,
97237,Rod Heard II,S,0,0,,2025,258,,63.5,66.7,D02,0,0,1,0,0,0,0,0,7,0,NOTRE DAME,NOTRE DAME,7,,,,,,,
97243,Isaiah Essissima,CB,0,0,,2025,144,,61,66.5,D01,0,0,1,0,1,0,0,0,3,0,COLO STATE,COLO STATE,4,59.9,,,,,,
97287,Trevor Wilson,WR,0,0,,2025,198,,58.7,66.5,07,0,0,1,0,0,1,4,4,0,0,KANSAS,KANSAS,9,,,,,59,,
97303,Enoch Nawahine,HB,0,0,,2026,128,,58.5,66,21,0,0,1,0,0,4,4,0,0,0,BYU,BYU,8,,,,,,,
97308,Jerjuan Newton,WR,0,0,2025,2025,316,,59.8,65.5,01,0,0,1,0,0,0,2,1,0,0,TOLEDO,TOLEDO,3,,,,,,,
97310,Deion Hankins,HB,0,0,2025,2025,314,,63.6,72.7,33,0,0,1,0,0,0,2,0,6,0,TEXAS ST,TEXAS ST,8,,,,,,,
97321,Ryan Davis,WR,0,0,,2026,241,,60,63.9,18,0,0,1,0,0,0,0,0,5,0,NEW MEXICO,NEW MEXICO,5,,,,64.3,,,
97329,Derrick Canteen,S,0,0,2025,2025,138,,60.8,66,D10,0,0,1,0,4,4,0,0,0,0,CINCINNATI,CINCINNATI,8,59.8,,,,,,
97330,Juan Powell,CB,0,0,,2025,141,,60.3,63.6,D00,0,0,1,0,4,0,0,0,1,0,COAST CAR,COAST CAR,5,60,,,,,,
97343,AJ Williams,S,0,0,,2025,141,,59.6,64.2,D07,0,0,1,0,4,0,0,4,1,0,COAST CAR,COAST CAR,9,59.9,,,,,,
97351,Jakeen Harris,S,0,0,,2025,245,,59.3,65.9,D02,0,0,1,0,5,0,0,6,0,0,N CAROLINA,N CAROLINA,11,59.9,,,,,,
97353,Coco Azema,S,0,0,,2025,256,,47.4,64.5,D00,1,0,1,0,2,2,0,0,1,0,NWESTERN,NWESTERN,5,59.9,,,,,,
97369,Sidney Porter,LB,0,0,,2025,200,,61,63.9,D11,0,0,1,0,3,0,0,0,2,0,KENNESAW,KENNESAW,5,60,,,,,,
97372,Reid Dedman,LB,0,0,,2025,174,,51.3,67,D17,1,0,1,0,0,5,5,3,1,0,GA SOUTHRN,GA SOUTHRN,14,,,,,,,
97386,Solomon Brown,S,0,0,,2026,126,,63.4,84.4,D07,0,0,1,0,7,0,0,0,4,0,BUFFALO,BUFFALO,11,59.9,,,,,,
97392,Daton Montiel,K,0,0,,2025,166,,60.8,65.6,S25,0,0,1,5,0,0,0,4,0,0,FIU,FIU,9,,60,,,,,54
97397,Alex Raynor,K,0,0,,2025,202,,60.1,64.3,S16,0,0,1,8,0,0,0,0,0,0,KENTUCKY,KENTUCKY,8,,,,,,69.2,
97422,Dino Tomlin,WR,0,0,,2025,121,,61.6,69.7,13,0,0,1,0,0,0,7,0,2,0,BOSTON COL,BOSTON COL,9,,,,,,,
97427,Devin Voisin,WR,0,0,,2026,288,,59.9,65.6,01,0,0,1,0,0,0,6,0,0,0,S ALABAMA,S ALABAMA,6,,,,,,,
97468,Trevon Booker,CB,0,0,,2025,136,,61.2,66.8,D20,0,0,1,0,7,4,0,0,0,0,CHARLOTTE,CHARLOTTE,11,60,,,,,,
97470,Keonte Glinton,CB,0,0,,2025,242,,61,66,D07,0,0,1,0,6,2,0,0,1,0,NEW MEX ST,NEW MEX ST,9,60.1,,,,,,
97471,Roderick Roberson,S,0,0,,2025,208,,67.4,68.5,D19,0,0,1,0,0,5,0,4,5,0,LA TECH,LA TECH,14,,,,,,,
97483,Dallas Gamble,CB,0,0,,2025,288,,66.8,66.2,D04,0,0,1,0,0,4,5,0,1,1,S ALABAMA,S ALABAMA,10,,,,,,,
97499,Caleb Tate,LB,0,0,,2025,126,,49.9,67.1,D33,0,0,1,0,0,7,0,3,0,0,BUFFALO,BUFFALO,10,,,,,,,
97506,Jaden Voisin,S,0,0,,2025,288,,59.8,61.9,D02,0,0,1,0,4,0,0,0,0,0,S ALABAMA,S ALABAMA,4,59.8,,,,,,
97539,Quincy Riley,CB,0,0,2025,2025,210,,33.4,26.1,D03,0,1,1,0,6,0,0,0,1,0,LOUISVILLE,LOUISVILLE,7,59.7,,,,,,
97541,Chad Stephens,ED,0,0,,2025,156,,59.4,63,D03,0,0,1,0,4,0,0,0,0,0,E CAROLINA,E CAROLINA,4,59.3,,,,,,
97543,Jett Elad,S,0,0,,2026,325,,72.8,69.2,D09,0,0,1,0,2,0,0,4,6,1,UNLV,UNLV,12,59.8,,,,,,
