playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesKickoffKicker,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesFgepDefense,gradesLongSnap,gradesKickReturn,gradesPuntReturn,gradesFgepKicker,gradesPunter
62724,Barry Brown,LB,0,0,,2025,141,,61.7,67.3,D35,0,0,1,0,2,5,0,0,0,0,COAST CAR,COAST CAR,7,,59.9,,,,,
63709,Spencer Curtis,WR,0,0,,2025,180,,60,64.5,14,0,0,1,0,0,0,0,1,0,0,HAWAII,HAWAII,1,,,,,,,
63872,Kam Butler,ED,0,0,,2025,335,,60.5,64.1,D82,0,0,1,0,6,0,0,0,1,0,VIRGINIA,VIRGINIA,7,,59.9,,,,,
63985,CJ Kiss,TE,0,0,,2025,346,,61,62.8,89,0,0,1,5,0,0,0,0,0,0,W KENTUCKY,W KENTUCKY,5,60,,,,,,
66051,Josh Minkins,S,0,0,2025,2025,138,,60.4,64.2,D00,0,0,1,0,4,0,0,4,3,0,CINCINNATI,CINCINNATI,11,,59.9,,,,,
70536,Sebastian Macaluso,WR,0,0,,2025,285,,62.7,65.9,24,0,0,1,0,0,0,0,0,8,0,S JOSE ST,S JOSE ST,8,,,,,,,
70624,Jacob Garcia,LS,0,0,,2025,329,,65.2,63,S49,0,0,1,8,0,0,0,3,0,0,UTAH ST,UTAH ST,11,66.3,,78.2,,,,
70644,Ben Florentine,DI,0,0,,2026,351,,59.7,63,D94,0,0,1,0,2,0,0,0,0,0,WYOMING,WYOMING,2,,59.5,,,,,
70879,Tuasivi Nomura,LB,0,0,2025,2025,169,,60,62.5,D08,0,0,1,0,3,0,0,0,0,0,FRESNO ST,FRESNO ST,3,,59.9,,,,,
70933,DeCarlos Brooks,HB,0,0,,2025,110,,60.7,68.1,25,0,0,1,0,0,0,5,0,0,0,ARIZONA ST,ARIZONA ST,5,,,,,,,
70973,Bryant Jackson,LB,0,0,,2026,242,,60.1,69,D57,0,0,1,0,0,0,5,0,0,0,NEW MEX ST,NEW MEX ST,5,,,,,,,
71332,Sean Dollars,HB,0,0,,2026,239,,56.8,65.7,04,0,0,1,0,0,0,5,0,0,0,NEVADA,NEVADA,5,,,,,,,
71370,Domani Jackson,CB,0,0,2026,2026,103,,60.3,64.3,D01,0,0,1,0,4,0,0,0,0,0,ALABAMA,ALABAMA,4,,60.1,,,,,
71398,Keanu Tanuvasa,DI,0,0,,2027,328,,60.6,66.7,D57,0,0,1,0,4,0,0,0,4,0,UTAH,UTAH,8,,58.9,,,,,
71406,Akili Arnold,S,0,0,,2025,326,,59.9,61.7,D00,0,0,1,0,3,0,0,0,0,0,USC,USC,3,,59.9,,,,,
71410,Easton Mascarenas-Arnold,LB,0,0,2025,2025,326,,59.2,65,D04,0,0,1,0,3,0,0,5,0,0,USC,USC,8,,59.6,,,,,
71502,Andrew Madrigal,C,0,0,,2026,239,,60,63.3,78,0,0,1,0,0,0,0,1,0,0,NEVADA,NEVADA,1,,,,,,,
71530,Marquis Ashley,WR,0,0,,2026,239,,60,62.2,07,0,0,1,0,0,0,5,0,0,0,NEVADA,NEVADA,5,,,,40.1,,,
71596,Aaron Smith,CB,0,0,,2026,241,,70.9,67.6,D29,0,0,1,0,0,0,8,0,3,0,NEW MEXICO,NEW MEXICO,11,,,,,,,
71674,Silas Bolden,WR,0,0,2025,2025,311,,57.1,64.9,11,0,0,1,0,1,0,1,0,4,0,TEXAS,TEXAS,6,,59.9,,,62.4,,
72075,Josh Carlin,G,0,0,,2025,324,,60.6,63.2,54,0,0,1,6,0,0,0,1,0,0,UCLA,UCLA,7,62,,,,,,
72089,DJ Harvey,CB,0,0,,2026,285,,60,64.7,D02,0,0,1,0,0,0,3,0,0,0,S JOSE ST,S JOSE ST,3,,,,,,,
72158,Jake Bailey,WR,0,0,,2025,287,,54.9,68.1,12,0,0,1,0,0,1,0,0,7,0,SMU,SMU,8,,,,,,,
72178,Colby Bowman,WR,0,0,,2025,329,,60.5,67.5,09,0,0,1,0,0,0,8,3,1,0,UTAH ST,UTAH ST,12,,,,,,,
72324,Sonny Makasini,G,0,0,,2027,128,,61.4,66.3,51,0,0,1,4,0,0,0,0,0,0,BYU,BYU,4,60,,,,,,
72338,Raider Damuni,S,0,0,,2028,128,,47.4,67.5,D03,0,0,1,0,2,5,0,0,0,0,BYU,BYU,7,,60,,,,,
72354,Logan Pili,LB,0,0,,2027,329,,68.7,70.6,D27,0,0,1,0,4,8,8,0,3,0,UTAH ST,UTAH ST,23,,59.9,,,,,
72535,Noa Pola-Gates,CB,0,0,,2025,241,,50.3,27.4,D02,1,1,1,0,6,0,0,3,0,1,NEW MEXICO,NEW MEXICO,9,,60,,,,,
72538,Jadon Pearson,LB,0,0,,2026,329,,63.1,67.8,D39,0,0,1,0,0,8,0,0,3,0,UTAH ST,UTAH ST,11,,,,,,,
72689,Marshall Jackson,T,0,0,,2026,346,,60.8,62.8,53,0,0,1,5,2,0,0,0,0,0,W KENTUCKY,W KENTUCKY,7,60,59.6,,,,,
72769,Lavario Wiley,CB,0,0,,2025,325,,61.3,65.5,D17,0,0,1,0,0,0,0,0,4,0,UNLV,UNLV,4,,,,,,,
73148,Falcon Kaumatule,G,0,0,,2025,328,,60.7,64.7,59,0,0,1,1,0,0,0,10,0,0,UTAH,UTAH,11,60,,,,,,
73151,Henry Ikahihifo,ED,0,0,,2026,239,,60,63.5,D00,0,0,1,0,0,0,0,0,1,0,NEVADA,NEVADA,1,,,,,,,
73243,Lincoln Tuioti-Mariner,S,0,0,,2028,101,,74.5,75.2,D23,0,0,1,0,3,0,0,6,4,1,AIR FORCE,AIR FORCE,13,,59.9,,,,,
73697,Sioeli Helu,G,0,0,,2027,242,,61.5,67.8,58,0,0,1,5,0,0,0,0,0,0,NEW MEX ST,NEW MEX ST,5,60,,,,,,
73929,Donovan Smith,QB,0,0,,2025,182,,60,63.5,01,0,0,1,0,1,0,0,0,0,0,HOUSTON,HOUSTON,1,,59.9,,,,,
73930,Ryan Daly,TE,0,0,,2027,126,,57.9,67.6,88,0,0,1,0,0,0,9,0,0,0,BUFFALO,BUFFALO,9,,,,,,,
74119,Taariq Al-Uqdah,LB,0,0,,2027,341,,60.6,66.6,D00,0,0,1,0,2,3,0,0,0,0,WASH STATE,WASH STATE,5,,59.7,,,,,
74236,Mason Murphy,T,0,0,2026,2026,326,,61.8,68.8,76,0,0,1,6,0,0,0,0,0,0,USC,USC,6,60,,,,,,
74258,Justin Sinclair,S,0,0,,2026,180,,48.5,64.4,D06,1,0,1,0,6,3,0,3,0,0,HAWAII,HAWAII,12,,59.9,,,,,
74267,Melquan Stovall,WR,0,0,,2025,110,,59.8,66.5,05,0,0,1,0,0,0,0,3,4,0,ARIZONA ST,ARIZONA ST,7,,,,,63.1,,
74395,Zion Branch,S,0,0,,2027,326,,43.5,25.9,D08,0,1,1,0,2,5,0,0,0,0,USC,USC,7,,59.9,,,,,
74427,Anthony Landphere,TE,0,0,2025,2025,218,,61.7,62.8,82,0,0,1,9,0,0,1,0,0,0,MEMPHIS,MEMPHIS,10,61.4,,,,,,
74498,Treven Ma'ae,DI,0,0,2025,2025,118,,59.9,63.9,D09,0,0,1,0,3,0,0,0,0,0,BAYLOR,BAYLOR,3,,59.6,,,,,
74652,AJ Vaipulu,G,0,0,,2026,242,,60.9,61.9,51,0,0,1,5,0,0,0,0,0,0,NEW MEX ST,NEW MEX ST,5,60,,,,,,
74957,Nathan Griffin,LB,0,0,,2025,346,,61.6,66.3,D45,0,0,1,0,0,0,3,0,2,0,W KENTUCKY,W KENTUCKY,5,,,,,,,
75046,Jaylen Johnson,S,0,0,,2026,259,,60,63.4,D28,0,0,1,0,0,0,0,1,0,0,OHIO,OHIO,1,,,,,,,
75263,Silas Walters,S,0,0,2026,2026,221,,60.9,68.9,D29,0,0,1,0,0,0,2,5,7,0,MIAMI OH,MIAMI OH,14,,,,,,,
75816,Chuck Hicks,LB,0,0,,2025,229,,60,63.3,D30,0,0,1,0,0,0,0,0,1,0,MISSOURI,MISSOURI,1,,,,,,,
76122,Bam Booker,ED,0,0,,2027,122,,60.1,65.5,D45,0,0,1,0,0,0,3,0,0,0,BOWL GREEN,BOWL GREEN,3,,,,,,,
76436,Damarco Moorer,S,0,0,,2026,242,,70.9,67.2,D10,0,0,1,0,0,5,0,0,6,0,NEW MEX ST,NEW MEX ST,11,,,,,,,
76532,Damaje Yancey,CB,0,0,,2025,318,,60.5,66,D09,0,0,1,0,5,0,0,0,0,0,TROY,TROY,5,,59.9,,,,,
76604,Capone Blue,CB,0,0,,2025,339,,60.8,66.4,D03,0,0,1,0,4,0,0,0,1,0,WAKE,WAKE,5,,60,,,,,
76711,Torey Richardson,CB,0,0,,2025,306,,48.1,67.2,D13,1,0,1,0,1,5,0,0,1,0,TEMPLE,TEMPLE,7,,59.9,,,,,
76792,Dennis Briggs Jr.,DI,0,0,,2025,187,,60,62.7,D06,0,0,1,0,1,0,0,0,0,0,ILLINOIS,ILLINOIS,1,,59.8,,,,,
76794,Malcolm Lamar Sr.,T,0,0,,2025,165,,61.2,67.2,70,0,0,1,4,0,0,0,0,0,0,FAU,FAU,4,60,,,,,,
76813,Antonio Colclough,ED,0,0,,2025,126,,60.4,64.6,D06,0,0,1,0,4,0,0,0,1,0,BUFFALO,BUFFALO,5,,59.7,,,,,
77160,Justin Wright,LB,0,0,,2025,262,,60,62.9,D44,0,0,1,0,1,0,0,0,0,0,OKLA STATE,OKLA STATE,1,,60,,,,,
77244,Matt Harmon,ED,0,0,2025,2025,201,,60.1,64.7,D07,0,0,1,0,5,0,0,0,2,0,KENT STATE,KENT STATE,7,,59.2,,,,,
77252,Daniel Bolden,LB,0,0,,2025,316,,60.2,67.9,D31,0,0,1,0,2,0,2,8,0,0,TOLEDO,TOLEDO,12,,59.9,,,,,
77307,Justin Holloway,LS,0,0,,2025,109,,50.3,63.9,S31,1,0,1,2,0,0,0,7,0,0,ARIZONA,ARIZONA,9,60,,61.4,,,,
77518,Marques Cox,T,0,0,2025,2025,202,,60.4,62.5,69,0,0,1,3,0,0,0,0,0,0,KENTUCKY,KENTUCKY,3,60,,,,,,
77680,Jace Ruder,LB,0,0,,2025,251,,62.6,69.4,D03,0,0,1,0,0,7,9,4,6,0,N TEXAS,N TEXAS,26,,,,,,,
77939,Anthony Torres,TE,0,0,2025,2025,316,,60.5,60.9,88,0,0,1,3,0,0,0,0,0,0,TOLEDO,TOLEDO,3,60,,,,,,
78134,Tory Spears,S,0,0,,2025,314,,60.3,61.9,D12,0,0,1,0,2,0,0,0,1,0,TEXAS ST,TEXAS ST,3,,60,,,,,
78169,DaShon Bussell,CB,0,0,,2025,347,,60,63.2,D00,0,0,1,0,2,0,0,0,0,0,W MICHIGAN,W MICHIGAN,2,,60,,,,,
78573,Solomon Vanhorse,HB,0,0,,2026,190,,62.9,67.9,18,0,0,1,0,0,7,2,0,3,0,INDIANA,INDIANA,12,,,,59.6,,,
78999,Marque Collins,CB,0,0,,2026,128,,60.8,66.3,D02,0,0,1,0,6,0,0,0,0,0,BYU,BYU,6,,60,,,,,
81249,Jayden McDonald,LB,0,0,,2025,146,,61,64,D10,0,0,1,0,5,0,0,0,2,0,UCONN,UCONN,7,,59.9,,,,,
81284,Jared Small,LB,0,0,,2026,109,,60.5,64.6,D40,0,0,1,0,0,2,0,0,0,0,ARIZONA,ARIZONA,2,,,,,,,
81437,Moroni Anae,ED,0,0,,2026,328,,61.2,71.3,D24,0,0,1,0,0,2,0,6,4,0,UTAH,UTAH,12,,,,,,,
81514,Brennen Milliron,LS,0,0,,2025,296,,65.3,63.2,S39,0,0,1,4,0,0,0,4,0,0,SO MISS,SO MISS,8,60,,80.2,,,,
81559,Spencer Lovell,G,0,0,,2025,239,,59.6,63.1,76,0,0,1,3,0,0,0,1,0,0,NEVADA,NEVADA,4,60,,,,,,
81809,Joe More,C,0,0,,2025,111,,60.4,62.5,78,0,0,1,3,0,0,0,0,0,0,ARKANSAS,ARKANSAS,3,60,,,,,,
81860,Tank Jenkins,G,0,0,,2025,182,,60.5,64.8,72,0,0,1,2,0,0,0,0,0,0,HOUSTON,HOUSTON,2,60,,,,,,
81883,Baraka Beckett,G,0,0,,2025,241,,60.8,62.7,56,0,0,1,4,0,0,0,0,0,0,NEW MEXICO,NEW MEXICO,4,60,,,,,,
82266,Matt Lawson,DI,0,0,,2025,242,,59.2,63.3,D90,0,0,1,0,3,0,0,0,0,0,NEW MEX ST,NEW MEX ST,3,,59.1,,,,,
82281,Ezekiel Holmes,DI,0,0,,2025,187,,84.2,61.8,D33,0,0,1,0,1,0,0,0,0,0,ILLINOIS,ILLINOIS,1,,91.6,,,,,
82408,Maurice Strong Jr.,DI,0,0,,2025,288,,59.1,63.1,D55,0,0,1,0,2,0,0,0,0,0,S ALABAMA,S ALABAMA,2,,59,,,,,
82557,Jacob Mangum-Farrar,ED,0,0,,2025,190,,62.4,65,D07,0,0,1,0,0,9,0,0,0,0,INDIANA,INDIANA,9,,,,,,,
82560,Raymond Scott,LB,0,0,,2025,197,,77.3,66.8,D01,0,0,1,0,0,3,0,6,0,2,JAMES MAD,JAMES MAD,9,,,,,,,
82597,Kenneth Almendares,K,0,0,,2025,207,61.2,60.5,68.1,S45,0,0,1,7,0,7,0,0,0,0,LA LAFAYET,LA LAFAYET,14,,,,,,67.9,
82646,Ale Kaho,LB,0,0,2025,2025,324,,60.6,64,D10,0,0,1,0,3,0,1,0,1,0,UCLA,UCLA,5,,59.9,,,,,
83197,Dustin Johnson,S,0,0,,2025,259,,59.8,62,D06,0,0,1,0,5,0,0,0,0,0,OHIO,OHIO,5,,59.7,,,,,
83315,Chris Mills,CB,0,0,,2025,314,,60.6,66.8,D07,0,0,1,0,2,0,0,0,2,0,TEXAS ST,TEXAS ST,4,,59.8,,,,,
83825,Bryan Addison,S,0,0,,2025,324,,59.5,62.2,D04,0,0,1,0,3,0,0,0,0,0,UCLA,UCLA,3,,59.3,,,,,
83838,Armani-Eli Adams,S,0,0,,2025,347,,61.5,67.2,D30,0,0,1,0,1,6,0,0,0,0,W MICHIGAN,W MICHIGAN,7,,60,,,,,
83944,Tyneil Hopper,TE,0,0,,2025,223,,61.7,69.6,88,0,0,1,9,0,0,4,0,0,0,MICH STATE,MICH STATE,13,60.7,,,,,,
85774,Gracen Halton,DI,0,0,2026,2026,261,,59.8,62.4,D56,0,0,1,0,1,0,0,0,0,0,OKLAHOMA,OKLAHOMA,1,,59.6,,,,,
86142,Carson Lee,G,0,0,,2026,160,,60,63.3,75,0,0,1,0,0,0,0,1,0,0,E MICHIGAN,E MICHIGAN,1,,,,,,,
86267,Kalib Perry,LB,0,0,,2027,307,,60.3,63.8,D08,0,0,1,0,0,0,0,4,0,0,TENNESSEE,TENNESSEE,4,,,,,,,
86345,Aaron Rodriguez,P,0,0,,2025,241,,60,66.8,S10,0,0,1,0,0,0,0,3,0,0,NEW MEXICO,NEW MEXICO,3,,,,,,,57.3
86489,Alex Moore,T,0,0,,2025,101,,60.7,62.8,76,0,0,1,2,0,0,0,6,0,0,AIR FORCE,AIR FORCE,8,60,,,,,,
86729,Ozzie Nicholas,LB,0,0,,2025,154,,60.1,61.9,D45,0,0,1,0,3,0,0,0,0,0,DUKE,DUKE,3,,60,,,,,
86773,Jackson Schulz,S,0,0,,2026,202,,60,67.1,D29,0,0,1,0,0,0,9,0,0,0,KENTUCKY,KENTUCKY,9,,,,,,,
86877,Ceyair Wright,CB,0,0,2026,2026,238,,86.7,67.9,D15,0,0,1,0,5,0,0,3,0,2,NEBRASKA,NEBRASKA,8,,60,,,,,
87618,Logan Taylor,LB,0,0,,2026,180,,61.8,69.2,D16,0,0,1,0,4,3,7,0,2,0,HAWAII,HAWAII,16,,60,,,,,
90079,David Reese,ED,0,0,,2026,130,,60.5,63.2,D07,0,0,1,0,3,0,0,0,1,0,CAL,CAL,4,,59.9,,,,,
90131,Joseph Vaughn,LB,0,0,2025,2025,324,,62.3,70.3,D30,0,0,1,0,0,6,7,1,1,0,UCLA,UCLA,15,,,,,,,
90160,Davis Salom,LS,0,0,,2025,285,,62.6,63.5,S40,0,0,1,5,0,0,0,5,0,0,S JOSE ST,S JOSE ST,10,61.6,,66.9,,,,
90192,Dalton Norris,DI,0,0,,2025,221,,61.1,60.5,D95,0,0,1,5,0,0,0,0,0,0,MIAMI OH,MIAMI OH,5,60,,,,,,
90224,Reymello Murphy,WR,0,0,,2026,109,,57.3,68.1,00,0,0,1,0,0,0,4,2,0,0,ARIZONA,ARIZONA,6,,,,,,,
90529,Ose Egbase,ED,0,0,,2026,325,,58.7,71.3,D26,0,0,1,0,0,0,0,0,4,0,UNLV,UNLV,4,,,,,,,
90613,Skylar Loving-Black,TE,0,0,,2025,285,,61,64.7,86,0,0,1,5,0,0,3,5,0,0,S JOSE ST,S JOSE ST,13,60,,,,,,
90626,Beau Gardner,LS,0,0,2026,2026,173,,62.1,63.2,S60,0,0,1,6,0,0,0,4,0,0,GEORGIA,GEORGIA,10,63.4,,64.4,,,,
90783,Tyrice Ivy Jr.,S,0,0,,2026,265,,60.7,67.7,D12,0,0,1,0,3,0,5,0,0,0,OREGON ST,OREGON ST,8,,59.9,,,,,
97061,Josh Kelly,WR,0,0,2025,2025,315,,60,64,03,0,0,1,0,0,1,0,0,1,0,TEXAS TECH,TEXAS TECH,2,,,,,60.3,,
97087,Amir McDaniel,CB,0,0,,2025,207,,60,64.3,D13,0,0,1,0,0,0,0,0,1,0,LA LAFAYET,LA LAFAYET,1,,,,,,,
97105,Cam Ross,WR,0,0,2026,2026,197,,60,61.8,01,0,0,1,0,0,0,3,0,0,0,JAMES MAD,JAMES MAD,3,,,,63,,,
97120,Pat Garwo III,HB,0,0,,2025,239,,60,63.3,05,0,0,1,0,0,0,0,1,0,0,NEVADA,NEVADA,1,,,,,,,
97121,Gerald Green,HB,0,0,,2025,318,,60,62.3,00,0,0,1,0,0,1,0,0,0,0,TROY,TROY,1,,,,,,,
97125,Jacquez Stuart,HB,0,0,,2025,316,,60,61.2,00,0,0,1,0,0,0,1,0,0,0,TOLEDO,TOLEDO,1,,,,,,,
97143,Bralyn Lux,CB,0,0,2025,2025,315,,61,65.5,D00,0,0,1,0,8,0,0,0,2,0,TEXAS TECH,TEXAS TECH,10,,60.3,,,,,
97151,Michael Hayes,K,0,0,,2025,343,60.3,60,67.2,S22,0,0,1,2,0,4,0,0,0,0,W VIRGINIA,W VIRGINIA,6,,,,,,60,
97155,Jacob Barnes,K,0,0,,2026,319,,60,63.3,S35,0,0,1,4,0,0,0,0,0,0,TULANE,TULANE,4,,,,,,64.4,
97188,Dante Wright,WR,0,0,,2025,306,,60,64.7,05,0,0,1,0,0,0,0,1,2,0,TEMPLE,TEMPLE,3,,,,,60.2,,
97211,Christian Dremel,WR,0,0,,2025,278,,60.3,63.1,80,0,0,1,0,0,1,6,0,1,0,RUTGERS,RUTGERS,8,,,,58.5,57.7,,
97213,Taylor Morin,WR,0,0,2025,2025,339,,60.3,65.3,02,0,0,1,0,0,0,1,0,6,0,WAKE,WAKE,7,,,,,65.9,,
97218,Jacob Bernard,WR,0,0,,2025,207,,60,63.9,04,0,0,1,0,0,0,0,0,5,0,LA LAFAYET,LA LAFAYET,5,,,,,61.8,,
97220,Anthony Wilson,S,0,0,,2025,343,,61,64.9,D12,0,0,1,0,6,4,0,0,0,0,W VIRGINIA,W VIRGINIA,10,,59.9,,,,,
97225,Brandon Crossley,CB,0,0,2025,2025,287,,62.9,69.1,D01,0,0,1,0,2,5,0,0,4,0,SMU,SMU,11,,60,,,,,
97230,Marcus Harris,CB,0,0,2025,2025,130,,61.6,67.5,D05,0,0,1,0,4,6,0,0,4,0,CAL,CAL,14,,60,,,,,
97237,Rod Heard II,S,0,0,,2025,258,,73.4,69.5,D02,0,0,1,0,0,6,0,1,4,2,NOTRE DAME,NOTRE DAME,11,,,,,,,
97239,Chike Anigbogu,LB,0,0,,2025,275,,62.9,69.3,D07,0,0,1,0,0,3,5,0,6,0,RICE,RICE,14,,,,,,,
97257,Will Goldberg,S,0,0,,2025,154,,61.9,69.2,D35,0,0,1,0,0,0,0,0,4,0,DUKE,DUKE,4,,,,,,,
97270,Mycah Pittman,WR,0,0,,2026,328,,60,64.1,05,0,0,1,0,0,0,0,0,6,0,UTAH,UTAH,6,,,,,63.2,,
97278,Javon Harvey,WR,0,0,,2025,154,,58.8,67.6,07,0,0,1,0,0,0,0,9,0,0,DUKE,DUKE,9,,,,,,,
97287,Trevor Wilson,WR,0,0,,2025,198,,60,64.7,07,0,0,1,0,0,0,0,1,2,0,KANSAS,KANSAS,3,,,,,61.9,,
97305,Devyn Ford,HB,0,0,,2025,258,,61.6,67.7,22,0,0,1,0,0,6,0,1,0,0,NOTRE DAME,NOTRE DAME,7,,,,,,,
97308,Jerjuan Newton,WR,0,0,2025,2025,316,,59.9,65.6,01,0,0,1,0,0,0,2,1,0,0,TOLEDO,TOLEDO,3,,,,61.8,,,
97310,Deion Hankins,HB,0,0,2025,2025,314,,53.7,70.9,33,0,0,1,0,0,0,1,0,4,0,TEXAS ST,TEXAS ST,5,,,,,,,
97329,Derrick Canteen,S,0,0,2025,2025,138,,59.8,63.2,D10,0,0,1,0,4,0,0,1,0,0,CINCINNATI,CINCINNATI,5,,59.9,,,,,
97330,Juan Powell,CB,0,0,,2025,141,,60,62.1,D00,0,0,1,0,6,0,0,0,0,0,COAST CAR,COAST CAR,6,,59.9,,,,,
97341,Ken Robinson,S,0,0,,2025,331,,60.1,62.9,D04,0,0,1,0,3,0,0,0,0,0,UTSA,UTSA,3,,60,,,,,
97343,AJ Williams,S,0,0,,2025,141,,59.1,64.8,D07,0,0,1,0,3,0,0,5,0,0,COAST CAR,COAST CAR,8,,59.9,,,,,
97353,Coco Azema,S,0,0,,2025,256,,59.7,65.8,D00,0,0,1,0,4,0,0,7,2,0,NWESTERN,NWESTERN,13,,60,,,,,
97369,Sidney Porter,LB,0,0,,2025,200,,60.2,64.2,D11,0,0,1,0,4,0,0,0,0,0,KENNESAW,KENNESAW,4,,60,,,,,
97372,Reid Dedman,LB,0,0,,2025,174,,53.5,63.8,D17,1,0,1,0,0,5,0,2,0,1,GA SOUTHRN,GA SOUTHRN,7,,,,,,,
97379,Woodi Washington,CB,0,0,,2025,261,,60,69.7,D05,0,0,1,0,2,0,0,0,0,0,OKLAHOMA,OKLAHOMA,2,,60,,,,,
97386,Solomon Brown,S,0,0,,2026,126,,60.6,63,D07,0,0,1,0,8,0,0,0,1,0,BUFFALO,BUFFALO,9,,60,,,,,
97392,Daton Montiel,K,0,0,,2025,166,,60.8,67,S25,0,0,1,3,0,0,0,6,0,0,FIU,FIU,9,60,,,,,,68
97397,Alex Raynor,K,0,0,,2025,202,,60,62.9,S16,0,0,1,3,0,0,0,0,0,0,KENTUCKY,KENTUCKY,3,,,,,,51.5,
97422,Dino Tomlin,WR,0,0,,2025,121,,61.3,67.6,13,0,0,1,0,0,0,7,0,4,0,BOSTON COL,BOSTON COL,11,,,,,,,
97423,Jake Smith,WR,0,0,,2025,110,,59.8,65.4,08,0,0,1,0,0,0,5,3,0,0,ARIZONA ST,ARIZONA ST,8,,,,61.8,,,
97424,Bryce Kirtz,WR,0,0,,2025,256,,60,63.6,17,0,0,1,0,0,0,0,0,4,0,NWESTERN,NWESTERN,4,,,,,64,,
97427,Devin Voisin,WR,0,0,,2026,288,,59.9,64.7,01,0,0,1,0,0,0,4,0,0,0,S ALABAMA,S ALABAMA,4,,,,,,,
97433,Trey Sanders,HB,0,0,,2025,305,,61.3,64.3,02,0,0,1,0,0,4,0,0,0,0,TCU,TCU,4,,,,,,,
97453,Luis Cristobal Jr.,G,0,0,,2025,220,,61.6,63.4,52,0,0,1,8,0,0,0,0,0,0,MIAMI FL,MIAMI FL,8,60,,,,,,
97468,Trevon Booker,CB,0,0,,2025,136,,63.5,69.7,D20,0,0,1,0,0,4,0,3,7,0,CHARLOTTE,CHARLOTTE,14,,,,,,,
97470,Keonte Glinton,CB,0,0,,2025,242,,60.6,65.9,D07,0,0,1,0,5,0,0,0,0,0,NEW MEX ST,NEW MEX ST,5,,60,,,,,
97471,Roderick Roberson,S,0,0,,2025,208,,61.1,67.5,D19,0,0,1,0,1,5,1,6,4,0,LA TECH,LA TECH,17,,60,,,,,
97483,Dallas Gamble,CB,0,0,,2025,288,,49.4,65.9,D04,0,0,1,0,0,6,0,0,4,0,S ALABAMA,S ALABAMA,10,,,,,,,
