playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,yards,receptions,gradesCoverageDefense,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,snapCountsFs,touchdowns,snapCountsDlOutsideT,gradesRunDefense,gradesPassRushDefense,gradesTackle
70879,Tuasivi Nomura,LB,3,0,2025,0,0,66.7,FRESNO ST,3,D08,68,60,0,13,1,2025,9,13,2,56.4,3,0,39,0,0,0,0,1,0,0,FRESNO ST,2,0,4,0,8,8,0,66.1,6.5,78.4,0,169,77,3,0,0,115.3,25,1,2,0,1,9,74.8,66.6,80.8
70946,Tate Romney,LB,0,0,,0,0,,ARIZONA ST,0,D24,1,1,0,0,1,2027,0,0,0,,0,0,0,0,0,0,0,0,0,0,ARIZONA ST,0,0,0,0,,0,,60,,61.7,0,110,1,0,0,0,0,1,0,0,0,0,0,60,,
71370,Domani Jackson,CB,3,0,2026,0,1,66.7,ALABAMA,2,D01,62,3,0,2,1,2026,0,35,2,41.9,2,0,17,0,0,0,52,0,0,0,ALABAMA,1,0,2,0,19,1,25,45.7,17.5,76.6,0,103,62,13,0,0,106.3,43,1,1,6,0,0,63.1,46,60.4
71391,William Nimmo Jr.,S,0,0,,0,0,,S DIEGO ST,1,D07,21,11,0,0,1,2025,0,0,0,51.5,0,0,6,0,0,0,0,0,0,0,S DIEGO ST,0,0,0,0,,4,0,61.5,,72.2,0,284,21,0,0,0,0,15,0,2,6,0,0,71,,78.8
71406,Akili Arnold,S,0,0,,0,0,,USC,3,D00,48,16,0,0,1,2025,1,0,0,77.3,0,0,32,0,0,0,0,0,0,0,USC,1,0,0,0,,6,0,78.4,,75,0,326,49,0,0,0,0,17,0,2,26,0,1,73,,82.9
71410,Easton Mascarenas-Arnold,LB,2,0,2025,0,2,100,USC,5,D04,46,41,1,6,1,2025,7,26,2,41.7,0,0,27,0,0,0,0,1,0,0,USC,4,0,2,0,17,5,22.2,53,13,77.7,0,326,53,12,0,0,118.8,20,0,2,0,0,7,65.1,72.6,46.6
71957,Sheldon Newton,DI,0,0,,0,0,,BOISE ST,0,D09,0,0,0,3,1,2025,7,0,0,,0,0,0,0,1,0,0,0,0,0,BOISE ST,0,0,0,0,,0,0,65.5,,70.3,0,120,7,0,6,0,0,4,0,1,0,0,0,65.4,58,69.7
72089,DJ Harvey,CB,4,0,,0,0,0,S JOSE ST,1,D02,82,4,0,0,1,2026,1,0,0,76.7,0,0,27,0,0,0,78,0,0,0,S JOSE ST,0,0,0,0,,0,0,75.9,,78.2,0,285,83,0,0,1,39.6,56,0,0,0,0,1,68.9,,73.5
72338,Raider Damuni,S,3,0,,0,1,100,BYU,1,D03,38,18,0,0,1,2028,1,27,3,54.4,0,0,16,0,0,0,4,0,0,0,BYU,0,0,0,0,15,7,25,54.6,9,74,0,128,39,33,0,0,104.2,23,0,2,9,0,1,56.3,,58.1
72538,Jadon Pearson,LB,5,0,,0,3,80,UTAH ST,5,D39,54,43,0,4,1,2026,3,25,4,64.9,0,0,29,0,0,0,0,0,0,0,UTAH ST,4,0,0,0,9,11,27.3,60.8,6.3,74.7,0,329,57,25,1,1,87.5,24,0,3,0,0,2,55.2,58.1,35.2
72769,Lavario Wiley,CB,3,0,,0,1,33.3,UNLV,1,D17,26,2,0,0,1,2025,0,12,1,72.4,0,0,15,0,0,0,22,0,0,0,UNLV,0,0,0,0,12,2,50,69.6,12,73.8,0,325,26,0,0,1,46.5,11,0,0,0,0,0,53.4,,41.1
72821,Keith Conley Jr.,ED,0,0,,0,0,,UNLV,0,D99,0,0,0,3,1,2026,3,0,0,,0,0,0,0,0,0,0,0,0,0,UNLV,0,0,0,0,,0,,56.1,,69.3,0,325,3,0,0,0,0,0,0,0,0,0,3,,56.2,
73151,Henry Ikahihifo,ED,0,0,,0,0,,NEVADA,5,D00,0,0,0,3,1,2026,45,0,0,,0,0,0,0,0,0,0,0,0,0,NEVADA,3,0,0,0,,0,0,72,,80,0,239,45,0,0,0,0,42,0,2,0,0,45,72.7,57.5,80.2
73243,Lincoln Tuioti-Mariner,S,7,0,,0,2,100,AIR FORCE,4,D23,55,6,0,4,1,2028,7,89,7,58.2,0,0,38,0,0,0,0,0,0,0,AIR FORCE,1,0,0,0,20,37,25,58.7,12.7,79.9,0,101,62,33,0,0,118.8,20,0,2,12,0,7,62.4,56.2,45.7
73389,Marco Notarainni,LB,2,0,,1,4,0,BOISE ST,6,D53,65,65,0,4,1,2026,0,0,0,75.4,1,0,25,0,0,0,0,0,0,0,BOISE ST,5,0,1,0,,0,30.8,84.7,,78.3,0,120,65,0,0,0,39.6,36,0,3,0,0,0,81.9,63.5,29.3
74119,Taariq Al-Uqdah,LB,4,1,,0,0,50,WASH STATE,6,D00,55,52,0,6,1,2027,5,42,2,52.9,0,1,26,0,0,0,0,1,0,0,WASH STATE,3,0,1,0,25,3,0,60.5,21,77.7,0,341,60,36,0,0,47.9,28,1,1,0,0,5,68.7,61.5,81.5
74395,Zion Branch,S,0,0,,0,0,,USC,0,D08,11,4,0,0,1,2027,0,0,0,63.8,0,0,7,0,0,0,0,0,0,0,USC,0,0,0,0,,0,,63.6,,72.7,0,326,11,0,0,0,0,4,0,0,7,0,0,60,,
74498,Treven Ma'ae,DI,0,0,2025,0,0,,BAYLOR,4,D09,0,0,0,15,1,2025,29,0,0,60.5,2,0,0,5,0,0,0,0,0,0,BAYLOR,2,0,2,0,,0,0,70.2,,74.7,0,118,29,0,10,0,0,14,0,1,0,0,14,68.1,63.4,75.8
75263,Silas Walters,S,5,0,2026,0,0,60,MIAMI OH,10,D29,75,28,0,1,1,2026,3,12,3,63.3,0,0,45,0,0,0,2,0,0,0,MIAMI OH,3,0,0,0,10,22,0,63.5,4,76.7,0,221,78,7,0,0,64.6,32,1,0,23,0,3,62.3,60,84.6
75816,Chuck Hicks,LB,0,0,,0,0,,MISSOURI,2,D30,22,20,0,3,1,2025,0,0,0,66,0,0,12,0,0,0,0,0,1,0,MISSOURI,0,0,0,0,,2,0,60.7,,0,0,229,22,0,0,0,0,7,0,1,0,0,0,65.6,58.6,78.2
76532,Damaje Yancey,CB,8,0,,0,2,50,TROY,5,D09,56,6,0,0,1,2025,0,71,4,64.5,0,0,31,0,0,0,50,0,0,0,TROY,2,0,0,0,38,0,28.6,64,17.8,76.3,0,318,56,19,0,0,80.7,25,0,0,0,0,0,59.1,,41
76711,Torey Richardson,CB,2,0,,0,2,50,TEMPLE,1,D13,54,0,0,1,1,2025,0,5,1,63.8,0,0,31,0,0,0,52,0,0,0,TEMPLE,0,0,0,0,5,2,66.7,61,5,76.8,0,306,54,9,0,0,56.3,22,0,0,0,0,0,51.1,58.1,23.8
76792,Dennis Briggs Jr.,DI,0,0,,0,1,,ILLINOIS,0,D06,0,0,0,36,1,2025,65,0,0,,6,0,0,39,0,0,0,0,1,0,ILLINOIS,0,0,6,0,,0,33.3,65.1,,0,0,187,65,0,24,0,0,29,0,2,0,0,2,65,67.8,39.1
76813,Antonio Colclough,ED,0,0,,0,1,,BUFFALO,0,D06,4,4,1,21,1,2025,25,0,0,60,2,0,1,5,0,0,0,0,0,1,BUFFALO,1,0,3,0,,0,100,49.7,,76.7,0,126,29,0,2,0,0,7,0,0,0,0,18,45.4,56.1,31.8
76999,Darnell Jefferies,DI,0,0,,0,0,,MINNESOTA,0,D08,0,0,0,5,1,2025,6,0,0,,0,0,0,0,0,0,0,0,0,0,MINNESOTA,0,0,0,0,,0,,57.8,,69.8,0,225,6,0,6,0,0,1,0,0,0,0,0,60,57.2,
77160,Justin Wright,LB,2,0,,0,0,0,OKLA STATE,2,D44,31,28,0,4,1,2025,1,0,0,45.6,1,0,15,0,0,0,0,0,1,0,OKLA STATE,2,0,1,0,,3,0,54.8,,74.1,0,262,32,0,0,0,39.6,13,0,1,0,0,1,74.6,55.2,77.9
77244,Matt Harmon,ED,0,0,2025,0,1,,KENT STATE,2,D07,0,0,0,26,1,2025,53,0,0,60,3,0,1,0,0,0,0,0,0,0,KENT STATE,1,0,3,0,,0,25,59.5,,80.4,0,201,53,0,0,0,0,26,0,1,0,0,53,54.3,63.7,38.9
77252,Daniel Bolden,LB,0,0,,0,0,,TOLEDO,4,D31,60,59,0,1,1,2025,2,0,0,64.9,0,0,19,0,0,0,0,0,0,0,TOLEDO,3,0,0,0,,1,0,75.5,,78.3,0,316,62,0,0,0,0,42,1,3,0,0,2,77.5,59.4,82.3
77266,Keye Thompson,LB,0,0,,0,2,,PITTSBURGH,1,D38,43,43,0,4,1,2025,0,0,0,63.7,2,0,13,0,0,0,0,0,0,0,PITTSBURGH,1,0,2,0,,0,40,56.7,,76.2,0,268,43,0,0,0,0,26,0,2,0,0,0,54.3,54.1,29.9
77680,Jace Ruder,LB,0,0,,0,0,,N TEXAS,0,D03,5,2,0,0,1,2025,2,0,0,61.2,0,0,2,0,0,0,0,0,0,0,N TEXAS,0,0,0,0,,3,,67.7,,71.1,0,251,7,0,0,0,0,5,0,0,0,0,2,63.4,,
78134,Tory Spears,S,2,0,,0,0,0,TEXAS ST,3,D12,32,17,0,0,1,2025,0,0,0,52.8,0,0,14,0,0,0,0,0,0,0,TEXAS ST,2,0,0,0,,6,0,57.5,,72.5,0,314,32,0,0,0,39.6,18,0,0,9,0,0,64.7,,79.9
78169,DaShon Bussell,CB,0,0,,0,0,,W MICHIGAN,0,D00,7,1,0,0,1,2025,0,0,0,61.9,0,0,3,0,0,0,6,0,0,0,W MICHIGAN,0,0,0,0,,0,,63,,69.2,0,347,7,0,0,0,0,4,0,0,0,0,0,60,,
78999,Marque Collins,CB,3,0,,0,2,66.7,BYU,2,D02,57,4,0,1,1,2026,1,71,2,43,0,0,23,0,0,0,48,0,1,0,BYU,1,0,0,0,61,5,40,46.3,35.5,76.9,0,128,58,38,0,0,149.3,34,0,1,0,1,1,60.2,60,37.1
79240,Cherif Seye,ED,0,0,,0,0,,UCLA,0,D94,2,2,0,7,1,2025,6,0,0,,1,0,0,3,0,0,0,0,0,0,UCLA,0,0,1,0,,0,,62.1,,71,0,324,8,0,1,0,0,1,0,0,0,0,2,60,61.2,
81249,Jayden McDonald,LB,3,0,,0,3,100,UCONN,7,D10,78,70,1,12,1,2025,2,19,3,66.6,1,0,39,0,0,0,0,0,0,0,UCONN,5,0,2,0,8,8,21.4,66.6,6.3,77,0,146,80,16,0,0,93.1,29,0,4,0,0,2,60.8,64.9,56.5
81284,Jared Small,LB,1,0,,0,0,100,ARIZONA,1,D40,9,9,0,0,1,2026,0,15,1,60,0,0,1,0,0,0,0,0,0,0,ARIZONA,1,0,0,0,15,0,0,55.8,15,71.2,0,109,9,19,0,0,118.8,8,0,0,0,0,0,72.4,,73.6
82212,Jermayne Lole,DI,0,0,,0,1,,TEXAS,1,D99,0,0,0,11,1,2025,27,0,0,,1,0,0,6,7,0,0,0,0,0,TEXAS,1,0,1,0,,0,50,63.8,,74.8,0,311,27,0,13,0,0,16,1,0,0,0,1,68.5,53.2,28.3
82266,Matt Lawson,DI,0,0,,0,0,,NEW MEX ST,0,D90,0,0,0,23,1,2025,40,0,0,,0,0,0,0,17,0,0,0,0,0,NEW MEX ST,0,0,0,0,,0,,61.3,,76.4,0,242,40,0,23,0,0,17,0,0,0,0,0,64.3,55.8,
82281,Ezekiel Holmes,DI,0,0,,0,0,,ILLINOIS,1,D33,0,0,0,9,1,2025,18,0,0,,0,0,0,17,0,0,0,0,0,0,ILLINOIS,1,0,0,0,,0,0,53.5,,72.5,0,187,18,0,1,0,0,9,0,0,0,0,0,55.5,55.4,71.3
82408,Maurice Strong Jr.,DI,0,0,,0,1,,S ALABAMA,1,D55,0,0,0,27,1,2025,47,0,0,,4,0,0,9,0,0,0,0,0,1,S ALABAMA,1,0,4,0,,0,50,65.5,,76.2,0,288,47,0,28,0,0,20,0,0,0,0,10,59,68.3,23.2
82557,Jacob Mangum-Farrar,ED,2,0,,0,0,100,INDIANA,1,D07,0,0,0,3,1,2025,7,-2,2,79,0,0,2,0,0,0,0,0,0,0,INDIANA,1,0,0,0,3,0,0,83.1,-1,72.8,0,190,7,5,0,0,79.2,2,1,0,0,0,7,60,57.7,73
83074,Jaden Robinson,CB,3,0,2025,0,1,66.7,OREGON ST,3,D04,51,4,0,3,1,2025,0,14,2,58.9,0,0,24,0,0,1,46,0,0,0,OREGON ST,0,0,0,0,9,1,25,60.2,7,75.8,0,265,51,0,0,0,77.1,24,0,0,0,0,0,67.4,54.6,47.7
83197,Dustin Johnson,S,5,0,,0,0,40,OHIO,5,D06,51,10,0,1,1,2025,1,35,2,44.5,0,0,31,0,0,0,0,0,0,0,OHIO,1,0,0,0,23,2,0,52.4,17.5,76.3,0,259,52,1,0,0,104.2,20,0,1,39,1,1,71.4,59.7,84.2
83314,Jarvis Ware,CB,5,0,,0,0,20,UNLV,1,D13,45,2,0,0,1,2025,0,9,1,47.6,0,0,22,0,0,0,1,0,0,0,UNLV,1,0,0,0,9,40,0,51.8,9,78.6,0,325,45,4,0,0,39.6,23,0,0,2,0,0,66.4,,75.1
83315,Chris Mills,CB,5,0,,0,0,20,TEXAS ST,2,D07,48,4,0,0,1,2025,0,31,1,60.7,0,0,26,0,0,0,43,0,0,0,TEXAS ST,1,0,0,0,31,0,0,58.5,31,75.4,0,314,48,3,0,1,52.9,22,0,0,1,0,0,51.5,,76.6
83825,Bryan Addison,S,1,0,,0,1,100,UCLA,2,D04,65,30,0,1,1,2025,0,16,1,56.9,0,0,38,0,0,0,0,0,0,0,UCLA,0,0,0,0,16,9,33.3,59.7,16,76.1,0,324,65,23,0,0,118.8,26,0,0,26,0,0,66.4,60,41.4
83838,Armani-Eli Adams,S,0,0,,0,0,,W MICHIGAN,0,D30,4,0,0,0,1,2025,1,0,0,61.8,0,0,5,0,0,0,0,0,0,0,W MICHIGAN,0,0,0,0,,0,,61.8,,72.3,0,347,5,0,0,0,0,0,0,0,4,0,1,,,
85774,Gracen Halton,DI,0,0,2026,0,1,,OKLAHOMA,2,D56,0,0,0,18,1,2026,29,0,0,,0,0,0,2,5,0,0,0,1,0,OKLAHOMA,1,0,0,0,,0,33.3,55.8,,0,0,261,29,0,18,0,0,11,0,0,0,0,4,65.4,57.1,36.3
86077,Kitione Tau,DI,0,0,,0,0,,NEVADA,1,D52,0,0,0,2,1,2026,28,0,0,,0,0,0,0,7,0,0,1,0,0,NEVADA,1,0,1,0,,0,0,78.3,,75,0,239,28,0,21,0,0,26,0,0,0,0,0,70,82.7,69.7
86168,Jairus Satele,DI,0,0,,0,0,,FRESNO ST,0,D56,0,0,0,4,1,2028,6,0,0,,0,0,0,1,0,0,0,0,0,0,FRESNO ST,0,0,0,0,,0,,58.5,,69.4,0,169,6,0,5,0,0,2,0,0,0,0,0,60.3,56.8,
86267,Kalib Perry,LB,1,0,,0,0,100,TENNESSEE,2,D08,31,23,0,3,1,2027,1,3,1,67.9,1,0,17,0,0,0,0,0,0,0,TENNESSEE,1,0,1,0,3,8,0,74,3,76,0,307,32,5,0,0,79.2,12,1,3,0,0,1,78.8,56.9,81.1
86527,Rodney Robinson,S,4,0,,0,0,75,BOISE ST,3,D04,55,28,0,2,1,2025,3,28,3,61.2,0,0,27,0,0,0,1,0,0,0,BOISE ST,1,0,0,0,19,25,0,61.9,9.3,75.5,0,120,58,16,0,0,93.8,29,0,1,1,0,3,63.4,57.3,80.4
86729,Ozzie Nicholas,LB,2,0,,0,0,50,DUKE,8,D45,66,63,0,3,1,2025,1,65,1,49.9,2,0,27,0,0,0,0,0,1,0,DUKE,4,0,2,0,65,3,0,73.2,65,0,0,154,67,44,0,0,135.4,37,1,2,0,1,1,89.4,77.6,84.3
86877,Ceyair Wright,CB,3,0,2026,0,3,100,NEBRASKA,2,D15,48,2,0,1,1,2026,0,49,3,52.7,0,0,28,0,0,0,45,0,0,0,NEBRASKA,0,0,0,0,24,0,50,51.2,16.3,76.4,0,238,48,13,0,0,158.3,19,0,1,1,1,0,50.5,59.8,27.4
88453,Dylan Brown,DI,0,0,,0,0,,JVILLE ST,0,D54,0,0,0,0,1,2025,2,0,0,,0,0,0,0,2,0,0,0,0,0,JVILLE ST,0,0,0,0,,0,,61.4,,67.6,0,196,2,0,0,0,0,2,0,0,0,0,0,60,,
90079,David Reese,ED,0,0,,1,1,,CAL,3,D07,1,0,2,23,1,2026,53,0,0,49.2,1,0,4,0,0,0,0,1,0,0,CAL,5,0,4,0,,0,25,68.4,,82.3,0,130,54,0,0,0,0,27,1,0,0,0,53,66.2,72.3,62.2
90783,Tyrice Ivy Jr.,S,1,0,,0,0,0,OREGON ST,1,D12,24,17,0,0,1,2026,0,0,0,54.6,0,0,14,0,0,0,0,0,0,0,OREGON ST,0,0,0,0,,4,0,56.4,,73.9,0,265,24,0,0,0,39.6,10,0,0,3,0,0,61.3,,74.8
91245,Trey Laing,ED,0,0,,0,1,,E MICHIGAN,1,D97,0,0,0,12,1,2025,26,0,0,61.2,0,0,3,0,0,0,0,0,0,0,E MICHIGAN,1,0,0,0,,0,33.3,56.5,,77.1,0,160,26,0,0,0,0,11,0,1,0,0,26,52.5,60.4,29.2
97087,Amir McDaniel,CB,0,0,,0,0,,LA LAFAYET,3,D13,35,4,0,5,1,2025,0,0,0,72.5,1,0,22,0,0,0,0,0,0,0,LA LAFAYET,0,0,1,0,,31,0,73.4,,78.3,0,207,35,0,0,0,0,8,0,1,0,0,0,64.5,64.9,78.5
97141,Antavious Lane,S,5,0,,0,2,80,N CAROLINA,11,D01,73,50,0,0,1,2025,4,19,4,61,0,0,36,0,0,0,1,0,0,0,N CAROLINA,3,0,0,0,7,10,14.3,53.5,4.8,77.3,0,245,77,4,0,0,82.5,41,0,1,12,0,4,43.6,,60
97143,Bralyn Lux,CB,8,0,2025,0,2,75,TEXAS TECH,4,D00,55,3,0,0,1,2025,1,95,6,41,0,0,33,0,0,0,51,0,3,0,TEXAS TECH,1,0,0,0,35,1,33.3,34.1,15.8,0,0,315,56,8,0,0,114.1,23,0,0,0,0,1,35.3,,33.9
97220,Anthony Wilson,S,4,0,,0,0,25,W VIRGINIA,5,D12,57,24,0,0,1,2025,0,20,1,59.6,0,0,24,0,0,0,0,0,0,0,W VIRGINIA,0,0,0,0,20,5,0,58.9,20,77.6,0,343,57,2,0,1,47.9,33,0,4,28,0,0,57.7,,86.7
97225,Brandon Crossley,CB,4,0,2025,0,2,75,SMU,4,D01,65,5,0,0,1,2025,0,26,3,69.3,0,0,43,0,0,0,57,0,0,0,SMU,2,0,0,0,12,2,33.3,68.2,8.7,77.1,0,287,65,9,0,0,91.7,22,0,0,1,0,0,57,,44.2
97230,Marcus Harris,CB,3,0,2025,0,0,33.3,CAL,2,D05,66,3,0,1,1,2025,0,2,1,72.5,0,0,33,0,0,0,57,0,0,0,CAL,1,0,0,0,2,5,0,74.6,2,77.2,0,130,66,0,0,1,81.9,32,0,0,0,1,0,74.3,60,78.2
97237,Rod Heard II,S,0,0,,0,0,,NOTRE DAME,0,D02,2,1,0,0,1,2025,0,0,0,60,0,0,1,0,0,0,1,0,0,0,NOTRE DAME,0,0,0,0,,0,,60.7,,64,0,258,2,0,0,0,0,1,0,0,0,0,0,60,,
97239,Chike Anigbogu,LB,0,0,,0,0,,RICE,1,D07,1,1,0,0,1,2025,0,0,0,,0,0,0,0,0,0,0,0,0,0,RICE,1,0,0,0,,0,0,66.1,,64.1,0,275,1,0,0,0,0,1,0,0,0,0,0,62.2,,73.6
97274,Dywan Griffin,CB,0,0,,0,0,,DOMINION,0,D23,2,0,0,0,1,2025,0,0,0,61.2,0,0,2,0,0,0,1,0,0,0,DOMINION,0,0,0,0,,1,,61.8,,67.4,0,263,2,0,0,0,0,0,0,0,0,0,0,,,
97324,Jordan Clark,CB,0,0,2025,0,0,,NOTRE DAME,0,D01,4,2,0,0,1,2025,0,0,0,61,0,0,3,0,0,0,1,0,0,0,NOTRE DAME,0,0,0,0,,0,,62,,65.9,0,258,4,0,0,0,0,1,0,0,1,0,0,60,,
97329,Derrick Canteen,S,3,0,2025,0,0,0,CINCINNATI,1,D10,43,27,0,0,1,2025,0,0,0,64.1,0,0,16,0,0,0,0,0,0,0,CINCINNATI,1,0,0,0,,16,0,63.8,,76.8,0,138,43,0,0,0,39.6,27,0,1,0,0,0,61.8,,77.2
97330,Juan Powell,CB,7,0,,0,1,57.1,COAST CAR,10,D00,71,24,0,4,1,2025,2,19,4,68.8,1,0,38,0,0,0,1,0,0,0,COAST CAR,7,0,1,0,12,46,7.1,71.2,4.8,77.6,0,141,73,21,0,0,62.2,31,1,3,0,0,2,74.5,55.6,73.4
97343,AJ Williams,S,2,0,,0,3,100,COAST CAR,4,D07,56,49,0,2,1,2025,0,7,2,66,0,0,27,0,0,0,1,0,0,0,COAST CAR,2,0,0,0,6,4,30,66.4,3.5,74.1,0,141,56,8,0,0,81.3,27,0,3,2,0,0,65.5,57.8,41.8
97351,Jakeen Harris,S,3,0,,0,1,33.3,N CAROLINA,5,D02,40,31,0,0,1,2025,0,24,1,40.7,0,0,23,0,0,0,0,0,0,0,N CAROLINA,1,0,0,0,24,6,12.5,47.8,24,74.1,0,245,40,7,0,0,63.2,17,0,2,3,0,0,65.6,,71.8
97353,Coco Azema,S,0,0,,0,3,,NWESTERN,2,D00,25,15,0,0,1,2025,0,0,0,55,0,0,11,0,0,0,0,0,0,0,NWESTERN,0,0,0,0,,1,60,50,,72.9,0,256,25,0,0,0,0,14,0,0,9,0,0,47.1,,24.4
97369,Sidney Porter,LB,0,0,,0,0,,KENNESAW,6,D11,10,2,1,7,1,2025,32,0,0,66.2,1,0,12,0,0,0,0,0,0,0,KENNESAW,3,0,2,0,,8,0,72.5,,80.4,0,200,42,0,0,0,0,23,1,1,0,0,32,67.8,72.6,81.9
97379,Woodi Washington,CB,0,0,,0,0,,OKLAHOMA,0,D05,43,14,0,0,1,2025,1,0,0,69.9,0,1,29,0,0,0,8,0,0,0,OKLAHOMA,0,0,0,0,,19,,70,,75.8,0,261,44,0,0,0,0,15,0,0,2,0,1,63.6,,
