playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesKickReturn,gradesPuntReturn,gradesPunter,gradesLongSnap,gradesKickoffKicker,gradesFgepKicker
73699,Cory Hall,DI,0,0,,2026,325,,61.9,67.7,D97,0,0,1,7,0,0,0,0,0,0,UNLV,UNLV,7,60,,,,,,
73935,Cade McConnell,QB,0,0,,2026,330,,60,60.3,11,0,0,1,2,0,0,0,0,0,0,UTEP,UTEP,2,60,,,,,,
74119,Taariq Al-Uqdah,LB,0,0,,2027,340,60,60,61.4,D03,0,0,1,0,4,0,0,0,0,0,WASHINGTON,WASHINGTON,4,,,,,,,
74152,Ryan Quintanar,LB,0,0,,2026,326,,57.3,65.4,D51,0,0,1,0,0,0,6,1,0,0,USC,USC,7,,,,,,,
74258,Justin Sinclair,S,0,0,,2026,180,,60.5,68.4,D21,0,0,1,0,0,5,6,4,2,0,HAWAII,HAWAII,17,,,,,,,
74652,AJ Vaipulu,G,0,0,,2026,341,,61.4,62,66,0,0,1,4,0,0,0,0,0,0,WASH STATE,WASH STATE,4,60,,,,,,
75041,Jaymar Mundy,CB,0,0,,2026,259,59.9,32.3,25.8,D08,0,1,1,0,1,0,0,0,5,0,OHIO,OHIO,6,,,,,,,
75263,Silas Walters,S,0,0,2026,2026,221,59.8,60,66.3,D29,0,0,1,0,7,0,0,1,2,0,MIAMI OH,MIAMI OH,10,,,,,,,
75285,Aneesh Vyas,DI,0,0,,2026,351,90.7,92.5,64.1,D90,0,0,1,0,4,0,0,0,0,0,WYOMING,WYOMING,4,,,,,,,
76122,Bam Booker,ED,0,0,,2027,122,59.2,47.5,65.3,D45,1,0,1,3,5,0,0,7,1,0,BOWL GREEN,BOWL GREEN,16,60,,,,,,
78216,Tay Lanier,WR,0,0,,2026,144,,60,63.3,06,0,0,1,0,0,0,0,1,0,0,COLO STATE,COLO STATE,1,,,,,,,
78573,Solomon Vanhorse,HB,0,0,,2026,190,,63.9,70.3,18,0,0,1,0,0,0,2,2,9,0,INDIANA,INDIANA,13,,,,,,,
81437,Moroni Anae,LB,0,0,,2026,328,,60.1,65.9,D24,0,0,1,0,0,2,7,0,0,0,UTAH,UTAH,9,,,,,,,
83446,Brendon Harris,S,0,0,,2026,224,,60.6,68,D07,0,0,1,0,0,6,0,4,0,0,MIDDLE TN,MIDDLE TN,10,,,,,,,
85725,Jayden Dunlap,CB,0,0,,2026,128,60,60.1,64.5,D29,0,0,1,0,2,0,0,0,0,0,BYU,BYU,2,,,,,,,
85774,Gracen Halton,DI,0,0,2026,2026,261,59,59.7,69.7,D56,0,0,1,0,2,0,0,0,0,0,OKLAHOMA,OKLAHOMA,2,,,,,,,
86142,Carson Lee,C,0,0,,2026,343,,60,61.6,55,0,0,1,1,0,0,0,0,0,0,W VIRGINIA,W VIRGINIA,1,60,,,,,,
86267,Kalib Perry,LB,0,0,,2027,210,60,60.6,62.3,D12,0,0,1,0,2,0,0,2,1,0,LOUISVILLE,LOUISVILLE,5,,,,,,,
86298,Blake Ruffin,S,0,0,,2027,210,59.8,64.4,71.7,D29,0,0,1,0,2,7,0,0,7,0,LOUISVILLE,LOUISVILLE,16,,,,,,,
86353,Byron Cardwell Jr.,HB,0,0,,2027,284,,60,63,21,0,0,1,0,0,0,1,0,0,0,S DIEGO ST,S DIEGO ST,1,,,,,,,
86477,Koby Gross,TE,0,0,,2026,117,,60.5,63.4,06,0,0,1,3,0,0,0,1,0,0,BALL ST,BALL ST,4,60,,,,,,
86578,Jalil Tucker,CB,0,0,,2028,265,60,60.6,65.9,D22,0,0,1,0,5,0,0,0,0,0,OREGON ST,OREGON ST,5,,,,,,,
86877,Ceyair Wright,CB,0,0,2026,2026,238,59.9,60.7,66.8,D01,0,0,1,0,6,1,0,0,0,0,NEBRASKA,NEBRASKA,7,,,,,,,
90079,David Reese,ED,0,0,,2026,304,60,60.6,64.5,D08,0,0,1,0,2,0,0,0,1,0,SYRACUSE,SYRACUSE,3,,,,,,,
90529,Ose Egbase,ED,0,0,,2026,325,59.5,60.7,64.7,D17,0,0,1,0,2,0,0,0,2,0,UNLV,UNLV,4,,,,,,,
97105,Cam Ross,WR,0,0,2026,2026,335,,60.2,63.9,06,0,0,1,0,0,0,4,0,6,0,VIRGINIA,VIRGINIA,10,,62.3,64,,,,
97386,Solomon Brown,S,0,0,,2026,126,60,60.7,66.4,D07,0,0,1,0,3,0,0,0,2,0,BUFFALO,BUFFALO,5,,,,,,,
97427,Devin Voisin,WR,0,0,,2026,288,,60,64.1,01,0,0,1,0,0,0,0,0,6,0,S ALABAMA,S ALABAMA,6,,,64.5,,,,
97517,Marvae Myers,CB,0,0,,2026,214,59.7,62.9,71.3,D03,0,0,1,0,4,7,0,0,4,0,MARSHALL,MARSHALL,15,,,,,,,
97543,Jett Elad,S,0,0,,2026,278,60,60.6,66.8,D09,0,0,1,0,7,0,0,0,2,0,RUTGERS,RUTGERS,9,,,,,,,
97751,Mohamed Toure,LB,0,0,,2027,220,60,62.3,63.4,D01,0,0,1,0,1,0,0,0,6,0,MIAMI FL,MIAMI FL,7,,,,,,,
97761,Zaylin Wood,DI,0,0,,2026,333,90.4,91.2,63.5,D15,0,0,1,0,3,0,0,0,0,0,VANDERBILT,VANDERBILT,3,,,,,,,
97886,Mark Davis,CB,0,0,,2026,333,60,60.6,64.3,D17,0,0,1,0,1,3,0,0,0,0,VANDERBILT,VANDERBILT,4,,,,,,,
97977,Jalar Holley,DI,0,0,,2026,136,59.6,59.8,64.3,D97,0,0,1,0,4,0,0,0,0,0,CHARLOTTE,CHARLOTTE,4,,,,,,,
98082,Demetris Allen,G,0,0,,2026,331,,60.4,62.5,73,0,0,1,3,0,0,0,0,0,0,UTSA,UTSA,3,60,,,,,,
98255,Jax Harrington,T,0,0,,2026,207,,62,66.8,70,0,0,1,7,0,0,0,0,0,0,LA LAFAYET,LA LAFAYET,7,61.8,,,,,,
98550,Adrian Medley,G,0,0,,2026,167,,61.6,64.4,76,0,0,1,7,0,0,0,0,0,0,FLORIDA ST,FLORIDA ST,7,60,,,,,,
98867,Jalen Catalon,S,0,0,,2026,229,60,61.6,65.3,D06,0,0,1,0,3,7,0,0,1,0,MISSOURI,MISSOURI,11,,,,,,,
98952,Isaiah Gibson Sr.,DI,0,0,,2026,296,59.1,60.2,65.4,D07,0,0,1,0,3,0,0,0,2,0,SO MISS,SO MISS,5,,,,,,,
99041,Jakai Moore,T,0,0,,2026,245,,60,61.6,55,0,0,1,1,0,0,0,0,0,0,N CAROLINA,N CAROLINA,1,60,,,,,,
99276,Will Jones II,S,0,0,,2026,251,60.2,60.4,65.4,D00,0,0,1,0,6,0,4,0,0,0,N TEXAS,N TEXAS,10,,,,,,,
99286,Virdel Edwards II,CB,0,0,,2026,180,,60.9,66,D23,0,0,1,0,0,0,0,0,3,0,HAWAII,HAWAII,3,,,,,,,
99502,Deshawn McCuin,CB,0,0,,2026,284,,61.5,65.5,D17,0,0,1,0,0,6,0,6,0,0,S DIEGO ST,S DIEGO ST,12,,,,,,,
99745,Jordan Huff,S,0,0,,2026,175,60,60.1,61.7,D06,0,0,1,0,4,0,0,0,0,0,GA STATE,GA STATE,4,,,,,,,
99809,Rico Watson III,ED,0,0,,2026,327,,59.8,66.2,D34,0,0,1,0,0,0,0,2,0,0,USF,USF,2,,,,,,,
99845,Ben Smiley,ED,0,0,,2026,146,59.6,59.9,63.9,D01,0,0,1,0,3,0,0,0,0,0,UCONN,UCONN,3,,,,,,,
100221,PaSean Wimberly,HB,0,0,,2026,122,,60.3,66,30,0,0,1,0,0,0,0,2,1,0,BOWL GREEN,BOWL GREEN,3,,,,,,,
100437,Stephon Wright,DI,0,0,,2027,146,58.9,59.2,65.5,D92,0,0,1,0,3,0,1,0,0,0,UCONN,UCONN,4,,,,,,,
100445,De'Jon Benton,DI,0,0,,2026,180,,60,67.2,D79,0,0,1,0,0,0,0,0,1,0,HAWAII,HAWAII,1,,,,,,,
100457,Levani Damuni,LB,0,0,,2026,328,60.1,60.9,65.6,D03,0,0,1,0,4,0,7,0,2,0,UTAH,UTAH,13,,,,,,,
100595,Sitiveni Havili Kaufusi,ED,0,0,,2026,262,,59.9,66.5,D17,0,0,1,0,0,0,6,5,0,0,OKLA STATE,OKLA STATE,11,,,,,,,
101126,Christian Helms,WR,0,0,,2026,327,,60.8,68.1,85,0,0,1,0,0,2,3,1,0,0,USF,USF,6,,,,,,,
101373,Javin Wright,LB,0,0,2026,2026,238,60.2,60.5,65.2,D00,0,0,1,0,5,0,0,0,0,0,NEBRASKA,NEBRASKA,5,,,,,,,
101408,Smith Vilbert,ED,0,0,2026,2026,245,59.8,60.6,65.6,D08,0,0,1,0,4,0,0,0,1,0,N CAROLINA,N CAROLINA,5,,,,,,,
101613,Jack Bouwmeester,P,0,0,2026,2026,311,,61.1,64.2,S19,0,1,1,10,0,0,0,2,0,0,TEXAS,TEXAS,12,60.6,,,62.1,,,
101668,Tate Hallock,S,0,0,,2026,347,59.9,62.5,66.4,D03,0,0,1,0,3,0,0,0,7,0,W MICHIGAN,W MICHIGAN,10,,,,,,,
101808,Marlon Jones,CB,0,0,2026,2026,333,60,62.5,70.1,D00,0,0,1,0,2,11,0,0,3,0,VANDERBILT,VANDERBILT,16,,,,,,,
102309,Jordan Hall,G,0,0,,2026,319,,60.5,64.8,50,0,0,1,2,0,0,0,0,0,0,TULANE,TULANE,2,60,,,,,,
102324,Keagen Trost,T,0,0,2026,2026,229,,60.8,62.7,79,0,0,1,4,0,0,0,0,0,0,MISSOURI,MISSOURI,4,60,,,,,,
102848,Brendan Harrington,LB,0,0,,2026,174,60,60,61.3,D02,0,0,1,0,3,0,0,0,0,0,GA SOUTHRN,GA SOUTHRN,3,,,,,,,
103655,Logan Lutui,ED,0,0,,2026,128,59.9,60.5,64.7,D07,0,0,1,0,2,0,0,0,1,0,BYU,BYU,3,,,,,,,
104082,Marcus Bellon,WR,0,0,,2026,239,,60.3,64.2,18,0,0,1,0,0,1,0,0,4,0,NEVADA,NEVADA,5,,,62.4,,,,
104560,Noah Holmes,LB,0,0,,2026,156,59.3,66.6,68.9,D25,0,0,1,0,6,4,7,4,3,0,E CAROLINA,E CAROLINA,24,,,,,,,
104901,Marcus Velez,TE,0,0,,2026,126,,60.1,64.8,19,0,0,1,0,0,0,4,0,0,0,BUFFALO,BUFFALO,4,,,,,,,
106404,Jalen Bell,DI,0,0,,2026,218,58.6,59.3,67.2,D93,0,0,1,0,5,0,0,0,1,0,MEMPHIS,MEMPHIS,6,,,,,,,
106446,Clay Patterson,DI,0,0,,2026,300,,60,64.1,D91,0,0,1,0,0,0,0,0,1,0,STANFORD,STANFORD,1,,,,,,,
108560,Michael Flores,G,0,0,,2026,210,,62.2,62.4,51,0,0,1,8,0,0,0,0,0,0,LOUISVILLE,LOUISVILLE,8,64,,,,,,
116043,Tra Thomas,ED,0,0,,2026,248,60.1,51.6,66.2,D04,0,0,1,0,6,6,0,0,0,0,NC STATE,NC STATE,12,,,,,,,
121351,Sam Howard,LB,0,0,,2026,319,60,60.4,64.6,D15,0,0,1,0,7,0,0,0,0,0,TULANE,TULANE,7,,,,,,,
121358,Ethan Myers,LS,0,0,,2026,227,,65,63.2,S45,0,0,1,6,0,0,0,3,0,0,MISS STATE,MISS STATE,9,63.4,,,,78.5,,
121426,Caullin Lacy,WR,0,0,2026,2026,210,,60.2,64.1,05,0,0,1,0,0,0,3,0,7,0,LOUISVILLE,LOUISVILLE,10,,63,67.9,,,,
121488,Zaire Flournoy,G,0,0,,2027,166,,61.1,65.7,51,0,0,1,3,0,0,0,0,0,0,FIU,FIU,3,60,,,,,,
121492,Justin Jones,HB,0,0,2026,2026,115,,63.1,67.5,35,0,0,1,0,0,5,6,0,5,0,AUBURN,AUBURN,16,,,,,,,
121523,Kenneth Harris,CB,0,0,2026,2026,262,60,60,61.7,D23,0,0,1,0,3,0,0,0,0,0,OKLA STATE,OKLA STATE,3,,,,,,,
121537,Lincoln Pare,HB,0,1,2026,2026,314,,43,71,07,0,1,1,0,0,0,2,0,5,0,TEXAS ST,TEXAS ST,7,,,,,,,
121668,Channing Canada,CB,0,0,2026,2026,305,59.9,60.4,65.6,D07,0,0,1,0,4,0,0,0,0,0,TCU,TCU,4,,,,,,,
121669,Isaiah Cash,CB,0,0,,2026,337,,68,67.5,D18,0,0,1,0,0,7,0,2,1,1,VA TECH,VA TECH,10,,,,,,,
121708,Tyson Thompson,TE,0,0,,2026,275,,60,66,11,0,0,1,0,0,0,5,0,5,0,RICE,RICE,10,,,63.8,,,,
121724,Immanuel Bush,DI,0,0,,2026,197,59.1,59.2,63,D00,0,0,1,0,3,0,0,0,0,0,JAMES MAD,JAMES MAD,3,,,,,,,
121732,Hayden Hagler,TE,0,0,,2026,230,,60,63.3,14,0,0,1,0,0,0,3,0,0,0,MO STATE,MO STATE,3,,,,,,,
121734,EJ Horton Jr.,WR,0,0,2026,2026,273,,60,64.4,13,0,0,1,0,0,0,0,1,0,0,PURDUE,PURDUE,1,,,,,,,
121745,Zane Porter,LB,0,0,,2026,214,,68.3,72.3,D15,0,0,1,0,0,7,6,5,4,0,MARSHALL,MARSHALL,22,,,,,,,
121749,Daytione Smith,S,0,0,,2027,214,60.1,61.5,68.9,D17,0,0,1,0,4,0,0,0,4,0,MARSHALL,MARSHALL,8,,,,,,,
121800,Devyn Curtis,LB,0,0,,2027,113,,61,65.9,D31,0,0,1,0,0,0,5,8,2,0,ARK STATE,ARK STATE,15,,,,,,,
121916,Will Benton IV,LS,0,0,,2026,176,,64.6,63.3,S42,0,0,1,0,0,0,0,4,0,0,GA TECH,GA TECH,4,,,,,81.4,,
121971,Durham Harris,LS,0,0,,2026,333,,63.8,62.1,S46,0,0,1,10,0,0,0,0,0,0,VANDERBILT,VANDERBILT,10,68.6,,,,71.4,,
121982,David Nunez,P,0,0,,2026,314,,60.7,64.9,S38,0,0,1,5,0,0,0,3,0,0,TEXAS ST,TEXAS ST,8,60,,,62.3,,,
121987,Trenton Scott,T,0,0,,2026,239,,60.7,62.5,52,0,0,1,4,0,0,0,0,0,0,NEVADA,NEVADA,4,60,,,,,,
122018,Josh Hancock,LS,0,0,,2026,330,,64.7,63,S39,0,0,1,4,0,0,0,3,0,0,UTEP,UTEP,7,60,,,,78.9,,
122103,Rodney Johnson,CB,0,0,,2026,210,59.9,58.3,70.3,D07,0,0,1,0,1,8,0,2,6,0,LOUISVILLE,LOUISVILLE,17,,,,,,,
122144,DeMonte Capehart,DI,0,0,2026,2026,140,58.5,58.3,63.5,D19,0,0,1,0,5,0,0,0,0,0,CLEMSON,CLEMSON,5,,,,,,,
122163,Tyler Venables,S,0,0,,2026,140,,60.5,66.2,D24,0,0,1,0,0,4,0,4,0,0,CLEMSON,CLEMSON,8,,,,,,,
122164,E.J. Williams Jr.,WR,0,0,2026,2026,190,,64,67.8,07,0,0,1,0,0,0,2,0,8,0,INDIANA,INDIANA,10,,,,,,,
122165,Tre Williams,DI,0,0,,2026,222,59.5,59.7,63,D00,0,0,1,0,2,0,0,0,0,0,MICHIGAN,MICHIGAN,2,,,,,,,
122173,Panda Askew,G,0,0,,2026,156,,60.6,65.2,53,0,0,1,3,0,0,0,0,0,0,E CAROLINA,E CAROLINA,3,60,,,,,,
122177,Ty'Kieast Crawford,T,0,0,,2026,343,,60,61.6,74,0,0,1,1,0,0,0,0,0,0,W VIRGINIA,W VIRGINIA,1,60,,,,,,
122180,Colby Garfield,LS,0,0,,2026,136,,62.4,63.5,S39,0,0,1,4,0,0,0,5,0,0,CHARLOTTE,CHARLOTTE,9,60,,,,66.6,,
122209,Isaiah Dunson,CB,0,0,,2026,175,60,67.9,64.7,D14,0,0,1,0,1,6,0,0,0,1,GA STATE,GA STATE,7,,,,,,,
122234,Anderson Castle,HB,0,0,2026,2026,154,,62.3,66.9,04,0,0,1,0,0,7,0,0,0,0,DUKE,DUKE,7,,,,,,,
122261,Tony Anyanwu,ED,0,0,,2026,275,59.8,61.5,65.4,D26,0,0,1,0,2,0,0,0,3,0,RICE,RICE,5,,,,,,,
122269,Mike Harris,S,0,0,,2026,288,60,60.6,66.4,D08,0,0,1,0,5,3,0,3,1,0,S ALABAMA,S ALABAMA,12,,,,,,,
122274,A.J. McCarty,CB,0,0,,2026,315,,63.8,70.2,D01,0,0,1,0,0,7,0,0,6,0,TEXAS TECH,TEXAS TECH,13,,,,,,,
122278,Devin Neal,S,0,0,2026,2026,335,60,60.1,64.1,D27,0,0,1,0,2,0,1,0,0,0,VIRGINIA,VIRGINIA,3,,,,,,,
122299,Quincy Jenkins,G,0,0,,2026,346,,61.7,68.4,63,0,0,1,6,0,0,0,0,0,0,W KENTUCKY,W KENTUCKY,6,60,,,,,,
122323,Shane Bruce,LB,0,0,,2026,141,59.8,59.4,64.4,D01,0,0,1,0,5,0,0,4,0,0,COAST CAR,COAST CAR,9,,,,,,,
122381,Calib Perez,G,0,0,,2027,321,,61.4,66.3,75,0,0,1,4,0,0,0,0,0,0,UAB,UAB,4,60,,,,,,
122396,Stephen Dix Jr.,LB,0,0,2026,2026,111,60.1,59.8,66.4,D14,0,0,1,0,5,0,0,5,0,0,ARKANSAS,ARKANSAS,10,,,,,,,
122398,Markeston Douglas,TE,0,0,,2026,167,,61.9,64.2,87,0,0,1,9,0,0,3,0,0,0,FLORIDA ST,FLORIDA ST,12,61.5,,,,,,
122432,Tyler Bride,S,0,0,,2026,196,,60,64.6,D00,0,0,1,0,0,1,0,0,0,0,JVILLE ST,JVILLE ST,1,,,,,,,
122451,Rasheed Miller,T,0,0,2026,2026,210,,61.8,65.4,60,0,0,1,8,0,0,0,0,0,0,LOUISVILLE,LOUISVILLE,8,60.1,,,,,,
122461,Marques Watson-Trent,LB,0,0,,2026,238,59.9,60,62.5,D33,0,0,1,0,3,0,0,0,0,0,NEBRASKA,NEBRASKA,3,,,,,,,
122463,Jackson Wheeler,LS,0,0,,2026,174,,67.8,63.2,S89,0,0,1,8,0,0,0,3,0,0,GA SOUTHRN,GA SOUTHRN,11,66.3,,,,78.2,,
122491,Jason Moore,DI,0,0,,2026,176,59.3,61.4,68.5,D95,0,0,1,7,5,0,0,4,1,0,GA TECH,GA TECH,17,60,,,,,,
122548,Jordan Brown,WR,0,0,,2026,239,,60,62.4,01,0,0,1,0,0,1,0,0,0,0,NEVADA,NEVADA,1,,,,,,,
122551,Kenean Caldwell,DI,0,0,,2026,198,59.4,59.6,62.5,D97,0,0,1,0,2,0,0,0,0,0,KANSAS,KANSAS,2,,,,,,,
122557,Emory Duggar,LS,1,0,,2026,198,,40.6,63.6,S51,0,0,1,7,0,0,0,6,0,0,KANSAS,KANSAS,13,64.9,,,,0,,
122563,Will Huggins,TE,0,0,,2026,261,,60.5,60.7,81,0,0,1,3,0,0,0,0,0,0,OKLAHOMA,OKLAHOMA,3,60,,,,,,
122572,Kyler Pearson,WR,0,0,,2027,156,,60,63.6,00,0,0,1,0,0,0,0,0,4,0,E CAROLINA,E CAROLINA,4,,,29.5,,,,
122591,Tee Denson,S,0,0,,2026,196,,60,62.4,E07,0,0,1,0,0,1,0,0,0,0,JVILLE ST,JVILLE ST,1,,,,,,,
122608,Christian Moore,TE,0,0,,2026,273,,61.5,73.6,44,0,0,1,0,0,0,9,0,0,0,PURDUE,PURDUE,9,,,,,,,
122635,Courtline Flowers,CB,0,0,,2026,207,59.8,60.9,68,D07,0,0,1,0,6,0,0,0,2,0,LA LAFAYET,LA LAFAYET,8,,,,,,,
122645,Caleb Kibodi,LB,0,0,,2026,207,,72.4,69.4,D45,0,0,1,0,0,6,7,4,1,3,LA LAFAYET,LA LAFAYET,18,,,,,,,
122647,Jordan Lawson,ED,0,0,,2026,207,59.5,59.7,62.4,D00,0,0,1,0,2,0,0,0,0,0,LA LAFAYET,LA LAFAYET,2,,,,,,,
122660,Tyree Skipper,S,0,0,,2026,207,59.8,59.8,62.2,D04,0,0,1,0,6,0,0,0,1,0,LA LAFAYET,LA LAFAYET,7,,,,,,,
122665,Ben Bell,ED,0,0,,2026,337,59.7,60.2,63.6,D33,0,0,1,0,1,0,0,0,1,0,VA TECH,VA TECH,2,,,,,,,
122670,Kershawn Fisher,ED,0,0,,2026,347,59.6,60.2,64.8,D20,0,0,1,0,1,0,0,0,2,0,W MICHIGAN,W MICHIGAN,3,,,,,,,
122680,Logan Klotz,K,1,0,,2027,207,,60,66,S40,0,0,1,0,0,2,0,0,0,0,LA LAFAYET,LA LAFAYET,2,,,,,,54.6,
122687,Keveion'ta Spears,DI,0,0,2026,2026,287,59,59.1,64,D40,0,0,1,0,3,0,0,0,0,0,SMU,SMU,3,,,,,,,
122692,Kobe Baynes,G,0,0,,2026,198,,61.9,68.7,70,0,0,1,7,0,0,0,0,0,0,KANSAS,KANSAS,7,61.2,,,,,,
122696,Henry Bryant,DI,0,0,,2026,175,59.1,59.2,64.6,D10,0,0,1,0,6,0,0,0,0,0,GA STATE,GA STATE,6,,,,,,,
122700,Austin Collins,C,0,0,,2026,304,,60,63.3,51,0,0,1,0,0,0,0,1,0,0,SYRACUSE,SYRACUSE,1,,,,,,,
122707,Christian Fitzpatrick,WR,0,0,,2026,262,,59.9,65.5,16,0,0,1,0,0,0,6,0,0,0,OKLA STATE,OKLA STATE,6,,,,,,,
122721,Mason Reiger,ED,0,0,2026,2026,349,59.8,60,64,D22,0,0,1,0,1,0,0,0,1,0,WISCONSIN,WISCONSIN,2,,,,,,,
122740,Tahj Chambers,LB,0,0,2026,2026,226,,61.8,66.3,D26,0,0,1,0,0,5,0,0,1,0,OLE MISS,OLE MISS,6,,,,,,,
122821,Kedrick Bingley-Jones,DI,0,0,,2027,227,59.1,59.2,62.4,D22,0,0,1,0,2,0,0,0,0,0,MISS STATE,MISS STATE,2,,,,,,,
122823,Jalen Brooks,LB,0,0,,2026,230,59.9,59.7,67.3,D19,0,0,1,0,1,0,2,2,0,0,MO STATE,MO STATE,5,,,,,,,
122827,Ja'Qurious Conley,S,0,0,2026,2026,136,59.8,61,67.8,D06,0,0,1,0,3,4,0,4,1,0,CHARLOTTE,CHARLOTTE,12,,,,,,,
122837,Tony Grimes,CB,0,0,,2026,273,60,60.5,66,D00,0,0,1,0,5,0,0,0,0,0,PURDUE,PURDUE,5,,,,,,,
122842,Malik McGowan,G,0,0,,2026,325,,62,62.5,60,0,0,1,7,0,0,0,0,0,0,UNLV,UNLV,7,62.6,,,,,,
122849,Spencer Triplett,LS,0,0,2026,2026,245,,64.1,63,S42,0,0,1,1,0,0,0,3,0,0,N CAROLINA,N CAROLINA,4,60,,,,79.8,,
122855,Devan Boykin,S,0,0,2026,2026,190,60,74.7,66.1,D12,0,0,1,0,2,10,0,2,0,1,INDIANA,INDIANA,14,,,,,,,
122867,Sean Hill,G,0,0,,2026,320,,61.9,62.2,65,0,0,1,6,0,0,0,0,0,0,TULSA,TULSA,6,62,,,,,,
122874,Matt McCabe,G,0,0,,2026,248,,61.4,67.4,66,0,0,1,5,0,0,0,0,0,0,NC STATE,NC STATE,5,60,,,,,,
122880,Josh Pierre-Louis,S,0,0,,2027,214,59.9,61.4,67.1,D11,0,0,1,0,4,0,6,0,4,0,MARSHALL,MARSHALL,14,,,,,,,
122883,Porter Rooks,WR,0,0,,2026,160,,60,66.7,09,0,0,1,0,0,0,6,0,0,0,E MICHIGAN,E MICHIGAN,6,,,,,,,
122903,Aidan Keanaaina,DI,0,0,2026,2026,130,59.2,72,63.1,D47,0,0,1,0,2,0,0,6,0,1,CAL,CAL,8,,,,,,,
